4|società, civilizzazione, cultura
42D1711|cofanetto nuziale, 'Minnekästchen'
42D1712|anello nuziale
42D172|dote
42D18|donna data da un uomo ad un altro
42D19|cena d'addio al celibato
42D2|cerimonie nuziali
42D21|sposi in abito nuziale
42D211|sposo (in abito nuziale)
42D212|sposa (in abito nuziale)
42D2121|ghirlanda, diadema nuziale
42D2122|vestire la sposa
42D21221|mettere il velo alla sposa
42D213|incontro tra gli sposi; lo sposo chiede o invita la sposa
42D214|partecipanti a una festa di nozze
42D2141|testimone
42D2142|damigella d'onore
42D2143|paggetto
42D22|benedizioni e raccomandazioni da parte dei genitori
42D221|scelta difficile tra la dimora paterna e il futuro
42D23|lasciare la casa paterna
42D231|uomo rapisce la donna
42D2311|cattura di una moglie
42D232|fuga (con un amante)
42D233|scambio di spose
42D24|cerimonia nuziale civile
42D241|firma del registro ~ matrimonio
42D242|cerimonia nuziale irregolare (p.es.: Gretna Green)
42D243|ricevimento di nozze
42D25|festa di nozze, pranzo di nozze
42D251|arrivo degli sposi al festa di nozze
42D252|torta di nozze
42D253|danze ad una festa di nozze
42D254|celebrazione di un anniversario di nozze
42D2541|nozze di rame
42D2542|nozze d'argento
42D2543|nozze d'oro
42D2544|nozze di diamante
42D26|viaggio di nozze, luna di miele
42D261|partenza (per la luna di miele)
42D2611|lanciare qualcosa dietro gli sposi, p.es. scarpe, riso, confetti
42D262|'alone at last', finalmente soli
42D27|prima notte
42D271|condurre la sposa a letto
42D2711|purificazione della sposa (bagno)
42D2712|deflorazione (della sposa)
42D2713|sposa riluttante
42D272|disturbatori (~ prima notte)
42D273|risveglio della sposa
42D274|prova della verginità
42D279|'jus primae noctis'
42D3|matrimonio, coppia sposata, 'matrimonium'
42D30|'Castità matrimoniale', 'Fede maritale', 'Matrimonio' (Ripa)
42D31|coppia ineguale, impari, male assortita
42D311|coppia ineguale, con differenza in età, uomo più anziano
42D3111|terzi (che deridono, disapprovano, ecc.) ~ coppia di sposi di età diversa
42D312|coppia ineguale, con differenze di ricchezza
42D3121|terzi (che deridono, disapprovano, ecc.) ~ coppia di sposi di differente ricchezza
42D313|coppia ineguale, con differenze di misura
42D314|coppia ineguale, con differenze nello stato di salute
42D32|satira sul matrimonio
42D321|matrimonio come trappola, insidia, ecc.
42D322|battaglia per il predominio nell'ambito del matrimonio ('chi porta i pantaloni?')
42D323|vita matrimoniale contro vita non matrimoniale
42D33|matrimonio felice
42D330|'Benevolenza et Unione matrimoniale', 'Concordia maritale' (Ripa)
42D331|marito ideale
42D332|moglie ideale
42D34|il partner dominante
42D341|marito dominante
42D342|moglie dominante
42D3421|marito tormentato, dominato dalla moglie
42D3422|'Bigorne et Chiceface'
42D35|cattivo marito
42D351|marito e moglie che litigano, 'Marriage à la mode'
42D352|riconciliazione tra moglie e marito
42D36|cattiva moglie
42D37|marito ingannato, tradito
42D371|con il terzo ~ marito ingannato
42D38|'ménage à trois'
42D39|adulterio
42D390|'Adulterio' (Ripa)
42D391|adultero
42D392|adulterio vendicato
42D3921|prova di innocenza (~ adulterio)
42D4|dopo lamorte di uno della coppia sposata
42D41|vedovo
42D42|vedova
42D429|la vedova di Efeso
42D43|secondo matrimonio (di vedovo o vedova)
42D431|secondo matrimonio dell'uomo
42D432|secondo matrimonio della donna
42D5|divorzio
42D6|ripudiare la moglie
42D7|amante
42D71|concubina
42D8|suoceri
42D81|suocero  
42D82|suocera  
42D83|genero   
42D84|nuora    
42D85|cognato  
42D86|cognata
42D9|condizione di non coniugati
42D91|uomo solo, single, celibe
42D92|donna sola, single, nubile, zitella
42DD11|proposta di matrimonio, dichiarazione d'amore - DD - proposta, dichiarazione d'amore da parte di una donna
42DD111|uomo in ginocchio davanti alla suo amata (proposta) - DD - proposta, dichiarazione d'amore da parte di una donna
42DD119|rifiuto di una proposta di matrimonio - DD - proposta, dichiarazione d'amore da parte di una donna
42DD14|uomo presenta la fidanzata ai propri genitori - DD - donna presenta il fidanzato ai propri genitori
42DD19|cena d'addio al celibato - DD - cena d'addio al nubilato
42DD231|uomo rapisce la donna - DD - donna rapisce l'uomo
42DD2311|cattura di una moglie - DD - donna rapisce l'uomo
42DD25|festa di nozze, pranzo di nozze - DD - all'aperto
42DD251|arrivo degli sposi al festa di nozze - DD - all'aperto
42DD252|torta di nozze - DD - all'aperto
42DD253|danze ad una festa di nozze - DD - all'aperto
42DD254|celebrazione di un anniversario di nozze - DD - all'aperto
42DD2541|nozze di rame - DD - all'aperto
42DD2542|nozze d'argento - DD - all'aperto
42DD2543|nozze d'oro - DD - all'aperto
42DD2544|nozze di diamante - DD - all'aperto
42DD311|coppia ineguale, con differenza in età, uomo più anziano - DD - donna più anziana
42DD3111|terzi (che deridono, disapprovano, ecc.) ~ coppia di sposi di età diversa - DD - donna più anziana
42DD312|coppia ineguale, con differenze di ricchezza - DD - donna più ricca
42DD3121|terzi (che deridono, disapprovano, ecc.) ~ coppia di sposi di differente ricchezza - DD - donna più ricca
42DD37|marito ingannato, tradito - DD - moglie ingannata
42DD371|con il terzo ~ marito ingannato - DD - moglie ingannata
42DD391|adultero - DD - adultera
42DD5|divorzio - DD - donna sposata concessa a un altro uomo, p.es. da suo padre
42DD7|amante - DD - cicisbeo
42DD71|concubina - DD - cicisbeo
42E|riti e pratiche funerarie
42E1|preparazione della salma, toletta mortuaria
42E11|lavaggio e vestizione della salma
42E111|sudario
42E112|coprire la salma
42E12|la salma posta sul cataletto
42E121|lenzuolo funebre, pallio funebre, 'pannus funeralis'
42E1211|scudo funerario
42E122|esequie pubbliche, esposizione pubblica della salma con cerimonie e onori
42E13|vigilie e veglie funebri
42E131|compianto del morto
42E132|lamento funebre
42E1321|prefiche
42E14|deposizione della la salma nella bara
42E141|bara
42E142|porre qualcosa nella bara o sulla bara, p.es. fiori, fede nuziale
42E15|imbalsamare, mummificazione della salma
42E151|mummia
42E152|preparazione di parti del corpo
42E16|altre forme di preparazione della salma
42E17|maschera mortuaria
42E18|effigie funebre
42E19|profanazione del cadavere
42E191|mutilazione del cadavere
42E192|esecuzione della pena sul cadavere
42E193|spoliazione del cadavere dei suoi oggetti di valore o dei suoi indumenti
42E194|necrofilia
42E2|cerimoniale funebre
42E21|annuncio della morte
42E211|annuncio orale della morte, incaricato delle pompe funebri
42E212|biglietto di lutto, annuncio mortuario, necrologia
42E213|medaglia commemorativa
42E214|camera ardente
42E22|corteo, processione funebre
42E221|carro funebre
42E222|carrozze funebri
42E223|lettiga, supporto della bara
42E224|'pleurants'
42E23|sepoltura
42E231|apertura della tomba, esumazione
42E232|risepoltura
42E24|discorso presso la tomba aperta, elogio funebre
42E241|preghiere funebri
42E242|gettare qualcosa dentro la tomba aperta
42E25|ignizione, incenerimento, cremazione
42E26|ritorno dal funerale
42E261|banchetto funebre
42E27|addetti ai servizi funebri
42E271|impresario di pompe funebri, necroforo
42E272|becchino
42E273|guardiano del cimitero
42E274|associazione funeraria
42E28|distruzione dei beni del defunto (donne, cavalli, domestici, ecc. sono uccisi dopo la morte del proprietario, del signore)
42E281|distruzione dei beni di una persona sul letto di morte
42E3|tomba, segni o elementi di identificazione di una tomba
42E31|tomba, sepolcro
42E311|pietra tombale, lastra sepolcrale
42E3111|pietra tombale verticale, stele
42E3112|pietra tombale orizzontale, terragna
42E3113|altri tipi di segnali tombali, p.es.: croce
42E312|epitaffio
42E32|tomba a nicchia, tomba a parete
42E321|tombe rupestri, scavate nella roccia
42E33|sarcofago
42E331|coperchio di sarcofago
42E34|urna
42E35|tombe architettoniche, tombe monumentali, monumenti sepolcrali
42E351|effigie, 'gisant' (figura-ritratto sulla bara chiusa o nel 'castrum doloris'), transi
42E3511|effigi ritratte in uno stato di semidecomposizione
42E36|altre strutture commemorative
42E361|guglia, obelisco (segno identificativo di una tomba)
42E362|colonna (segno identificativo di una tomba)
42E363|piramide (segno identificativo di una tomba)
42E37|tipi di tomba antichi
42E371|tipi di tomba preistorici
42E3711|tumulo
42E3712|tombe a camera megalitiche, dolmen
42E372|tipi di tomba storici
42E3721|mastaba
42E3722|piramide (tipi di tomba storici)
42E3723|mausoleo
42E373|usanze funebri esotiche
42E3731|esposizione sopraelevata, su alberi
42E3732|abbandono (usanze funebri esotiche)
42E38|segni, simboli e motivi nell'arte funeraria
42E39|tomba fittizia, cenotafio
42E4|culto dei morti
42E41|usanze di lutto (dopo le esequie
42E411|abiti da lutto
42E42|canto funebre
42E43|camposanto, cimitero
42E431|necropoli
42E4311|catacombe
42E432|camposanto (presso una chiesa)
42E433|fossa comune
42E434|cimitero, terreno per sepolture simile a un parco
42E435|cripta-ossario, ossario
42E44|cura e visita dei luoghi di sepoltura
42E441|deporre fiori o corone sulla tomba
42E442|ritrovamento di una tomba
42E45|ricordino 'in memoriam'
42E49|profanazione della tomba
42E491|rubare il cadavere dalla tomba
42E4911|ladri di cadaveri
42E5|normative e riordinamenti relativi a un decesso
42E51|disposizione degli averi del defunto
42E52|apertura e lettura del testamento
42E53|ridistribuzione degli averi
42E531|eredità
42E5311|eredità in beni mobili
42E532|erede
42E5321|controversie tra gli eredi
42E54|norme e provvedimenti relativi al sostentamento del coniuge e dei figli
42E541|assicurazione (norme e provvedimenti relativi al sostentamento del coniuge e dei figli)
42EE224|'pleurants' - EE - donne
42F|organizzazione domestica, cura e gestione della famiglia; casalinga al lavoro
42F0|economia; 'Economia', 'Providenza dell'annona' (Ripa)
42F1|casalinga
42F11|casalinga dà ordini alla servitù
42F12|casalinga controlla e sovraintende alla casa e ai beni
42F13|casalinga distribuisce il cibo
42F19|'Betty', 'Molly' (uomo che si impegna in lavori da donna)
42F2|fare la spesa, fare acquisti (~ organizzazione domestica)
42F3|lavori domestici, a giornata
42F31|pulire (la casa)
42F311|spolverare
42F312|lustrare (~ pulire la casa)
42F313|pulire le finestre
42F314|spazzare (~ pulire la casa)
42F32|utensili e attrezzi (domestici)
42F32(...)|utensili e attrezzi domestici (col NOME)
42F33|ricoprire un letto
42F34|preparare la tavola
42F341|servire a tavola
42F342|sparecchiare la tavola
42F35|cura di dipendenze e terreni
42F4|manutenzione e riparazioni dell'abitazione
42F49|abitazioni trascurate
42F5|personale di servizio in casa, domestici
42F51|domestica ~ personale di servizio
42F52|domestica a ore, donna delle pulizie
42F53|domestico, cameriere
42F54|maggiordomo
42F55|portinaio, custode
42F56|guardiano
42F6|piccoli incidenti (nei lavori) domestici
42F61|rompere qualcosa (incidenti domestici)
42F9|cattiva conduzione della casa
42F91|un vero macello (olandese: 'huishouden van Jan Steen')
42F92|casalinga sciatta, negligente, 'Vrou(w) Lor(t)s'
42G|la famiglia, parentela, discendenza
42G1|lignaggio familiare, albero genealogico, tavola genealogica
42G11|serie di ritratti di antenati, 'Ahnengalerie'
42G2|parentele familiari (primo, secondo, terzo e quarto grado), generazioni
42G21|parentela di primo grado
42G211|genitori (parentela di primo grado)
42G2111|padre (parentela di primo grado)
42G2112|madre (parentela di primo grado)
42G212|figli (parentela di primo grado)
42G2121|figlio (parentela di primo grado)
42G2122|figlia (parentela di primo grado)
42G22|parentela di secondo grado
42G221|nonni (parentela di secondo grado)
42G222|fratelli o sorelle (parentela di secondo grado)
42G2221|fratelli (parentela di secondo grado)
42G2222|sorelle (parentela di secondo grado)
42G223|nipoti (parentela di secondo grado)
42G23|parentela di terzo grado
42G231|bisnonni (parentela di terzo grado)
42G232|zii, zie (parentela di terzo grado)
42G233|nipoti (di zii) (parentela di terzo grado)
42G2331|nipoti (maschi) (di zii)
42G2332|nipoti (femmine) (di zii)
42G234|cugini (parentela di terzo grado)
42G235|pronipoti (parentela di terzo grado)
42G24|(parentela di quarto grado)
42G241|trisavoli (parentela di quarto grado)
42G242|prozii, prozie (parentela di quarto grado)
42G243|pronipoti (di prozii) (parentela di quarto grado)
42G244|cugini di secondo grado (parentela di quarto grado)
42G245|pronipoti (di trisavoli) (parentela di quarto grado)
42G29|incesto
42Z|nuclei familiari esotici e non monogami
42Z1|poligamia
42Z11|harem
42Z111|odalisca
42Z112|'le Bain turc'
42Z113|eunuco
42Z2|poliandria
42Z3|matrimoni comuni
42Z31|'Weibergemeinschaft'
42Z32|matrimonio di famiglia o di gruppo ('Punalua')
43|svago, divertimento
43A|festeggiamenti
43A1|ricorrenze, celebrazioni periodiche, feste popolari
43A11|giorni di festa, celebrazioni non liturgiche di giorni che fanno parte del calendario ecclesiastico
43A12|celebrazioni non liturgiche di Natale, Carnevale e Pasqua
43A121|Natale (celebrazioni non liturgiche)
43A1211|albero di Natale
43A1212|decorazioni natalizie
43A1213|Babbo Natale, Santa Claus, elfo di Natale
43A1214|biglietto natalizio
43A122|Carnevale, Shrovetide (celebrazioni non liturgiche)
43A1221|nave dei folli
43A1222|Giovedì grasso, 'Jeudi gras'
43A1223|Quinquagesima
43A1224|Martedi grasso, 'Mardi gras' ~ celebrazioni non liturgiche del carnevale
43A123|Pasqua (celebrazioni non liturgiche)
43A1231|uovo di Pasqua
43A12311|gioielli all'interno dell'uovo di Pasqua
43A1232|bue (da concorso) premiato
43A12321|portare in giro il bue da concorso per mostrarlo
43A1233|coniglio pasquale
43A13|festività collegate con attività stagionali
43A131|festività invernali, feste primaverili
43A1311|danzare intorno al maio (palo di maggio)
43A13111|maio, palo di maggio
43A132|festeggiamenti per il raccolto, ceremonia di ringraziamento per il raccolto
43A14|festività legate al calendario; anniversari
43A141|primo gennaio
43A1411|vigilia del Nuovo Anno (31 dicembre)
43A142|primo aprile
43A143|primo maggio
43A144|la notte dell'Epifania, generalmente celebrata la vigilia del 6 gennaio
43A145|festività legate al santo del giorno
43A1451|la vigilia di san Nicola (5 dicembre)
43A1452|Halloween, vigilia di Ognissanti (31 ottobre)
43A1453|san Martino (11 novembre)
43A1454|san Patrizio (17 marzo)
43A146|altri festività legate al calendario; anniversari
43A146(...)|altri festività legate al calendario; anniversari (con la DATA)
43A2|festeggiamenti privati, allegra compagnia
43A21|ricevimento, coktail party
43A22|commemorazione, giubileo
43A23|ballo, ballo ufficiale
43A3|parco di divertimenti e circo
43A31|giostra, carosello, seggiolini volanti
43A311|ruota gigante, ruota panoramica
43A32|divertimenti con auto, vagoni e simili ~ parco di divertimenti e circo
43A321|ottovolante
43A322|macchine a scontro
43A323|montagne russe, ferrovia in miniatura
43A33|esercizio di abilità e forza ~ parco di divertimenti e circo
43A331|sala, campo di tiro al bersaglio ~ parco di divertimenti e circo
43A332|macchina 'provate la vostra forza'
43A34|altri generi di divertimenti
43A341|specchi deformanti ~ parco di divertimenti e circo
43A342|diorama ~ parco di divertimenti e circo
43A343|panorama circolare ~ parco di divertimenti e circo
43A344|visore, per diapositive (apparecchio per vedere immagini attraverso un foro con lente)
43A345|baracchino per la lotteria
43A346|fenomeni da baraccone
43A3461|mostruosità umane ~ fenomeni da baraccone
43A3462|mostruosità animali ~ fenomeni da baraccone
43A3463|oggetti insoliti (piante, pietre, ecc.) ~ fenomeni da baraccone
43A35|spettacoli all'aperto
43A351|spettacoli nelle tende
43A352|richiamare il pubblico con il tamburo
43A36|circo
43A361|tenda del circo (esterno)
43A362|ingresso di una tenda da circo
43A363|tenda del circo (interno)
43A3631|pista del circo
43A37|lo spettacolo; artisti da fiera e da circo
43A371|capo, proprietario di circo
43A3711|direttore di circo
43A372|acrobata ~ circo
43A3721|funambolo
43A3722|trapezista
43A3723|equilibrista
43A3724|lanciatore di coltelli
43A3725|pistolero, tiratore scelto
43A3726|contorsionista
43A3727|acrobata prestigiatore, esperto nel liberarsi
43A3728|mangiatore di fuoco
43A373|pagliaccio
43A3731|Simple Simon, 'Hanswurst'
43A374|spettacolo con animali ammaestrati (scimmie, elefanti, orsi, leoni e tigri, cavalli, cani, delfini, foche, pulci)
43A3741|scimmie ~ circo
43A3742|elefanti ~ circo
43A3743|orsi ~ circo
43A3744|leoni e tigri ~ circo
43A3745|cavalli ~ circo
43A3746|cani ~ circo
43A3747|delfini ~ circo
43A3748|foche ~ circo
43A3749|circo delle pulci
43A375|illusionista, prestigiatore, 'legerdemain'
43A3751|ventriloquo
43A376|indovino, chiromante ~ parco di divertimenti e circo
43A38|circo o fiera 'en route'
43A381|installare le tende (circo o fiera 'en route')
43A382|smontare le tende (circo o fiera 'en route')
43A4|festeggiamenti pubblici
43A41|gioire in occasioni particolari
43A411|festeggiamenti per eventi di importanza nazionale
43A412|festeggiamenti pubblici in occasione di avvenimenti riguardanti re o famiglia reale
43A4121|festeggiamenti pubblici per il matrimonio di un membro della famiglia reale
43A4122|festeggiamenti pubblici per la nascita di un membro della famiglia reale
43A4123|festeggiamenti pubblici per altri eventi legati alla famiglia reale
43A42|ingresso trionfale e accoglienza pubblica, parata, 'entrée solemnelle', 'joyeuse entrée'
43A421|cocchio, carro trionfale
43A4211|carro romano, quadriga ~ trionfo
43A4212|carro da parata ~ trionfo
43A422|arco trionfale
43A423|altre strutture decorative (~ ingresso trionfale, ecc.)
43A424|distribuire denaro gettandolo (~ ingresso trionfale, ecc.)
43A4241|monete specificamente coniate per l'occasione (ingresso trionfale, ecc.) (olandese: 'strooipenningen')
43A425|decorazione e illuminazione di strade, piazze, ecc. (~ ingresso trionfale, ecc.)
43A426|coriandoli, ecc. (~ ingresso trionfale, ecc.)
43A43|trionfi (allegorici e simbolici)
43A431|'Trionfi' (del Petrarca)
43A4311|'Trionfi d'amore', 'Triumphus Cupidinis'; 'Carro d'Amore' (Ripa)
43A4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa)
43A4313|'Trionfo della Morte', Triumphus Mortis',; Carro della morte' (Ripa)
43A4314|'Trionfo della fama', Triumphus Famae'; Carro della Fama' (Ripa)
43A4315|'Trionfo del Tempo', Triumphus Temporis'; Carro del Tempo' (Ripa)
43A4316|'Trionfo della Divinità', Triumphus Aeternitatis'; Carro della Divinità' (Ripa)
43A432|trionfi simbolici di singoli personaggi
43A4321|apoteosi (o ascenzione) di singoli personaggi
43A433|incoronazione d'alloro
43A44|falò, fuochi d'artificio
43A45|pubblico disonore
43A46|attività nell'aria ~ festeggiamenti pubblici, p.es. parata aerea
43A49|funerali pubblici, di stato
43A491|catafalco, 'castrum doloris' (~ funerali pubblici)
43AA2|festeggiamenti privati, allegra compagnia - AA - all'aperto, 'fête champêtre'
43AA21|ricevimento, coktail party - AA - all'aperto, 'fête champêtre'
43AA22|commemorazione, giubileo - AA - all'aperto, 'fête champêtre'
43AA23|ballo, ballo ufficiale - AA - all'aperto, 'fête champêtre'
43AA376|indovino, chiromante ~ parco di divertimenti e circo - AA - indovina, chiromante
43AA4|festeggiamenti pubblici - AA - festeggiamenti pubblici sull'acqua
43AA41|gioire in occasioni particolari - AA - festeggiamenti pubblici sull'acqua
43AA411|festeggiamenti per eventi di importanza nazionale - AA - festeggiamenti pubblici sull'acqua
43AA412|festeggiamenti pubblici in occasione di avvenimenti riguardanti re o famiglia reale - AA - festeggiamenti pubblici sull'acqua
43AA4121|festeggiamenti pubblici per il matrimonio di un membro della famiglia reale - AA - festeggiamenti pubblici sull'acqua
43AA4122|festeggiamenti pubblici per la nascita di un membro della famiglia reale - AA - festeggiamenti pubblici sull'acqua
43AA4123|festeggiamenti pubblici per altri eventi legati alla famiglia reale - AA - festeggiamenti pubblici sull'acqua
43AA42|ingresso trionfale e accoglienza pubblica, parata, 'entrée solemnelle', 'joyeuse entrée' - AA - festeggiamenti pubblici sull'acqua
43AA422|arco trionfale - AA - festeggiamenti pubblici sull'acqua
43AA423|altre strutture decorative (~ ingresso trionfale, ecc.) - AA - festeggiamenti pubblici sull'acqua
43AA424|distribuire denaro gettandolo (~ ingresso trionfale, ecc.) - AA - festeggiamenti pubblici sull'acqua
43AA425|decorazione e illuminazione di strade, piazze, ecc. (~ ingresso trionfale, ecc.) - AA - festeggiamenti pubblici sull'acqua
43AA426|coriandoli, ecc. (~ ingresso trionfale, ecc.) - AA - festeggiamenti pubblici sull'acqua
43AA43|trionfi (allegorici e simbolici) - AA - sull'acqua, 'triomphe marin'
43AA431|'Trionfi' (del Petrarca) - AA - sull'acqua, 'triomphe marin'
43AA4311|'Trionfi d'amore', 'Triumphus Cupidinis'; 'Carro d'Amore' (Ripa) - AA - sull'acqua, 'triomphe marin'
43AA4312|'Trionfo della Castità', 'Triumphus Pudicitiae'; 'Carro della castità' (Ripa) - AA - sull'acqua, 'triomphe marin'
43AA4313|'Trionfo della Morte', Triumphus Mortis',; Carro della morte' (Ripa) - AA - sull'acqua, 'triomphe marin'
43AA4314|'Trionfo della fama', Triumphus Famae'; Carro della Fama' (Ripa) - AA - sull'acqua, 'triomphe marin'
43AA4315|'Trionfo del Tempo', Triumphus Temporis'; Carro del Tempo' (Ripa) - AA - sull'acqua, 'triomphe marin'
43AA4316|'Trionfo della Divinità', Triumphus Aeternitatis'; Carro della Divinità' (Ripa) - AA - sull'acqua, 'triomphe marin'
43AA432|trionfi simbolici di singoli personaggi - AA - sull'acqua, 'triomphe marin'
43AA4321|apoteosi (o ascenzione) di singoli personaggi - AA - sull'acqua, 'triomphe marin'
43AA433|incoronazione d'alloro - AA - sull'acqua, 'triomphe marin'
43AA44|falò, fuochi d'artificio - AA - festeggiamenti pubblici sull'acqua
43AA46|attività nell'aria ~ festeggiamenti pubblici, p.es. parata aerea - AA - festeggiamenti pubblici sull'acqua
43AA49|funerali pubblici, di stato - AA - festeggiamenti pubblici sull'acqua
43AA491|catafalco, 'castrum doloris' (~ funerali pubblici) - AA - festeggiamenti pubblici sull'acqua
43B|svago
43B1|godere la natura
43B11|contemplare la natura
43B12|colazione all'aperto, 'dejeuner sur l'herbe'
43B121|riunione all'aperto, 'délices à la campagne'
43B13|camminare, fare un'escursione (svago)
43B131|cavalcare, andare in bicicletta (svago)
43B14|godere della natura ~ piante, erbe e fiori
43B141|ricerca di piante, studio botanico sulle piante
43B142|andare in cerca di funghi
43B143|raccogliere erbe
43B144|cogliere fiori
43B15|godere la natura ~ animali
43B151|cacciare farfalle
43B16|scalare montagne, alpinismo
43B17|esplorare caverne
43B2|svago all'aperto
43B21|luogo di divertimenti
43B3|svaghi in un interno
43B31|locanda, caffè, pub
43B311|ristorante
43B312|giardino per il tè, dove viene servito tè e rinfreschi
43B313|marciapiede o terrazza davanti a una locanda o a un ristorante
43B32|club, luogo d'incontro
43B33|casinò
43B331|casa da gioco, bisca
43B34|night club, sala da ballo
43B4|bosco e parco (come luogo di svago)
43B41|giocare nei boschi
43B411|arrampicarsi su un albero
43B412|cadere da un albero
43B42|parco (come luogo di svago)
43B421|palco per l'orchestra
43B5|spiaggia (luogo di svago)
43B51|dentro o accanto all'acqua (sulla spiaggia)
43B52|prendere il sole (sulla spiaggia)
43B53|(costruire) castelli di sabbia (sulla spiaggia)
43B54|a cavallo degli asinelli (sulla spiaggia)
43B55|svago fra le dune
43B6|parco giochi
43B61|attrezzatura di un parco giochi
43B61(...)|attrezzature di un parco giochi (col NOME)
43B611|altalena
43B612|scivolo, toboga
43B613|altalena a bilico
43B7|zoo (come luogo di svago)
43B8|collezione, esposizione, mostra
43C|sport, giochi, prove atletiche
43C1|sport, giochi ~ animali
43C11|caccia
43C111|selvaggina, animali cacciati
43C1111|gruppo di vari animali oggetto di caccia
43C1112|caccia ~ mammiferi
43C11121|gruppo di vari mammiferi oggetto di caccia
43C11122|caccia alla scimmia
43C11123|caccia ~ animali predatori (volpe, leone)
43C111231|caccia alla volpe
43C1112311|volpe e segugi
43C111232|caccia al leone
43C1112321|cacciatore che lotta con un leone
43C11124|caccia ~ ungulati
43C111241|caccia al cervo
43C111242|caccia al capriolo
43C111243|caccia al cinghiale
43C11125|caccia ~ proboscidati
43C11126|caccia ~ roditori
43C111261|caccia alla lepre, caccia al coniglio
43C11127|caccia ~ mammiferi acquatici
43C11128|caccia ~ altri mammiferi
43C1113|caccia agli uccelli
43C1114|caccia ~ altri animali
43C112|incidenti di caccia
43C1121|animale cacciato attacca l'uomo
43C113|prede di caccia, selvaggina, cacciagione
43C1131|l'uccisione (~ caccia)
43C11311|trofei di caccia
43C1132|cacciatore che mostra o esibisce la selvaggina
43C114|cacciatore
43C1141|riunione 'départ pour la chasse'
43C1142|cacciatori che cacciano
43C11421|cacciatori che riposano durante la caccia
43C1143|battitori (~ caccia)
43C1144|suonare il corno da caccia
43C1145|'halali' (~ caccia)
43C1146|ritratto di gruppo di cacciatori
43C1147|cani da caccia
43C11471|accanto alle preda
43C1148|equipaggiamento da caccia
43C11481|carniere
43C11482|corno da caccia
43C1149|ritorno dalla caccia
43C11491|casino di caccia, padiglione di caccia, 'rendez-vous de chasse', 'Jagdschloss'
43C115|cercare la preda
43C1151|prendere, catturare animali
43C1152|osservare animali ~ caccia
43C11521|fotografare, filmare animali
43C116|terreno di caccia
43C1161|paletto di confine che delimita la zona di caccia
43C1162|caccia da appostamento, cacciare da un capanno, da un riparo, da un nascondiglio; spesso mimetizzati; per osservare, attendere la preda e colpirla senza essere visti
43C11621|appostamento da caccia posto su una piattaforma o postazione elevata
43C116211|palchetto, appostamento da caccia posto su un albero
43C11622|appostamento da caccia al livello del suolo, capanno, nascondiglio o riparo a terra
43C117|guardacaccia
43C118|cacciatore di frodo
43C12|pesca (sport)
43C121|pescare con la lenza
43C128|pescatore
43C1281|pescatore che mostra la preda
43C13|uccellagione, uccellatore
43C131|trappola per fringuelli
43C132|trappola per anatre
43C14|tormentare gli animali ~ sport e svago
43C141|gruppo di vari animali tormentati
43C142|tormentare mammiferi ~ sport e svago
43C1421|bastonare il gatto, 'cat-in-a-barrel'
43C1422|corrida
43C14221|torero, toreador
43C1423|combattimento di cani contro un orso
43C143|tormentare uccelli ~ sport e svago (gallo, anatra)
43C1431|combattimento di galli
43C1432|'pull-the goose', tiro all'anatra
43C144|tormentare rettili
43C145|tormentare anfibi
43C146|tormentare pesci
43C1461|'pull the eel', spellare l'anguilla
43C2|sport, giochi, prove atletiche ~ velocità
43C21|sport, ecc. su terra
43C211|correre, corsa
43C2111|(correre corsa) su un percorso a ostacoli, corsa a ostacoli
43C2112|corsa campestre
43C2113|gara di marcia
43C212|gareggiare a cavallo di animali
43C2121|corsa di cavalli
43C21211|fantino
43C21212|scuderia
43C21213|pista
43C2122|corsa a ostacoli, corsa a ostacoli da fare in un tempo massimo ~ corsa a cavallo di animali
43C213|corsa con veicoli
43C2131|corsa con carri (a cavalli)
43C21311|auriga
43C21312|corsa con carri a due ruote, p.es. biga, sulky
43C21313|corsa con carri a quattro ruote
43C2132|corsa di biciclette
43C21321|tour, giro di biciclette, p.es. 'Tour de France', 'Giro d'Italia'
43C2133|corsa di motociclette
43C2134|corsa di automobili
43C214|camminare (come sport)
43C218|corsa di animali
43C2181|cani (corsa)
43C2182|piccioni (corsa)
43C22|sport, ecc. in acqua
43C221|nuotare
43C2211|tuffarsi (sport)
43C22111|fare immersioni subacquee
43C222|fare sci d'acqua, surf
43C223|vogare, andare in canoa, ecc. (sport)
43C224|veleggiare (sport)
43C225|corsa di motoscafi
43C23|sport, ecc. nell'aria
43C231|gare di aerei
43C232|volo a vela (sport nell'aria)
43C233|volo in mongolfiera (sport)
43C234|lanciarsi, scendere con il paracadute (come sport)
43C24|sport invernali
43C241|slitta (sport invernali)
43C242|bob (sport invernali)
43C243|slittino (sport invernali)
43C244|pattini (sport invernali)
43C245|sci (sport invernali)
43C2451|slalom (sport invernali)
43C2452|salto dal trampolino
43C2453|ski-lift
43C246|slitta a vela sul ghiaccio (sport invernali)
43C3|atletica, ginnastica
43C31|salto in alto (atletica, ginnastica)
43C311|salto con l'asta
43C312|saltare sul tappeto elastico
43C32|salto in lungo
43C321|salto triplo
43C33|lancio del giavellotto
43C34|lancio del peso
43C35|lancio del disco
43C36|altri sport nell'ambito dell'atletica
43C361|sollevamento pesi
43C37|esercizi ginnici a terra
