4|società, civilizzazione, cultura
41A6811|irrigazione, dare acqua
41A682|attrezzi da giardinaggio
41A682(...)|attrezzi da giardinaggio (col NOME)
41A7|mobili, arredi e oggetti domestici
41A71|mobilio sui quali porre oggetti
41A711|tavolo
41A7111|tripode
41A7112|tavolo su cavalletti
41A712|mensole, scaffali, rastrelliera, credenza
41A7121|what-not, scaffaletto
41A7122|scaffale
41A71221|libreria, con porte
41A713|tovaglia, ecc.
41A72|mobili per sedersi
41A721|sedia
41A7211|sgabello
41A72111|sgabellino, posapiedi
41A7212|poltrona, seggio
41A7213|sedia a dondolo
41A722|divano, sofa
41A7221|cuscino
41A723|panca
41A73|mobili per immagazzinare
41A731|credenza, armadio
41A732|credenza ornamentale
41A733|cassa, forziere
41A734|'cassone'
41A735|serratura ~ porta
41A7351|chiave ~ mobili
41A7352|catenaccio ~ mobili
41A7353|lucchetto ~ mobili
41A74|mobili per usi particolari
41A741|paravento, paravento pieghevole
41A75|mobili decorativi
41A751|paravento
41A76|mobili per sdraiarsi
41A761|letto
41A7611|letto con spalliera incorporata (olandese: 'bedstee')
41A7612|letto a baldacchino
41A76121|letto (a baldacchino) a due aste
41A76122|letto (a baldacchino) a quattro aste
41A762|amaca
41A763|biancheria e occorrente per il letto
41A7631|materasso
41A7632|guanciale
41A7633|lenzuolo
41A7634|coperta
41A7635|copriletto
41A77|contenitori
41A771|contenitore di metallo: secchio, lattina, scatola di metallo, latta, ecc.
41A7711|contenitore di metallo prezioso
41A77111|
41A772|contenitore di pietra: vaso di pietra
41A7721|contenitore di pietra preziosa o semi-preziosa
41A773|contenitore di ceramica: vaso, brocca, pentola
41A774|contenitore di vetro: bottiglia, brocca, vaso
41A775|contenitore di legno: botte, barile
41A7751|contenitore di altro materiale vegetale: cesto
41A776|contenitore di cuoio: borsa di cuoio
41A7761|contenitore di altro materiale animale
41A777|contenitore di materiale tessile: borsa, sacco, rete
41A778|contenitore di carta, di cartone: borsa, scatola di cartone
41A779|contenitore di materiale sintetico
41A78|soprammobili, chincaglierie, ninnoli
41A8|uso della casa
41A81|ammobiliare (la casa)
41A82|traslocare (casa)
41A9|rovine di una abitazione, di una casa, di un castello, ecc.
41AA1|architettura civica; edifici, abitazioni - AA - architettura civile: in un'interno
41AA10|'Edifitio overo un sito' (Ripa) - AA - architettura civile: in un'interno
41AA11|palazzo - AA - architettura civile: in un'interno
41AA111|palazzo o palazzetto nell'ambito di una città - AA - architettura civile: in un'interno
41AA12|castello - AA - architettura civile: in un'interno
41AA121|casa fortificata nell'ambito di una città - AA - architettura civile: in un'interno
41AA13|edificio, p.es. edificio pubblico, grande magazzino - AA - architettura civile: in un'interno
41AA14|alloggio urbano - AA - architettura civile: in un'interno
41AA141|casa comune; fila di case - AA - architettura civile: in un'interno
41AA142|casa abbinata a negozio - AA - architettura civile: in un'interno
41AA143|casa isolata, indipendente, nell'ambito di una città - AA - architettura civile: in un'interno
41AA144|edificio ad appartamenti, appartamento - AA - architettura civile: in un'interno
41AA15|grattacielo - AA - architettura civile: in un'interno
41AA16|edificio rurale, p.es. casa di campagna, villa, villino - AA - architettura civile: in un interno
41AA161|casa di campagna - AA - architettura civile: in un'interno
41AA162|villa - AA - architettura civile: in un'interno
41AA163|villino - AA - architettura civile: in un'interno
41AA17|fattoria - AA - architettura civile: in un'interno
41AA171|granaio - AA - architettura civile: in un'interno
41AA18|casupola, capanna, casetta - AA - architettura civile: in un'interno
41AA181|capanna di tronchi - AA - architettura civile: in un'interno
41AA182|abitazione dei nativi del Nord America - AA - architettura civile: in un'interno
41AA1821|wigwam - AA - architettura civile: in un'interno
41AA19|altre tipologie abitative - AA - architettura civile: in un'interno
41AA191|tenda - AA - architettura civile: in un'interno
41AA1911|campeggio - AA - architettura civile: in un'interno
41AA1912|tepee, tipi - AA - architettura civile: in un'interno
41AA192|caravan, roulotte - AA - architettura civile: in un'interno
41AA1921|roulotte da campeggio - AA - architettura civile: in un'interno
41AA1922|rimorchio - AA - architettura civile: in un'interno
41AA193|casa galleggiante - AA - architettura civile: in un'interno
41AA194|abitazione lacustre, palafitta - AA - architettura civile: in un'interno
41AA1941|altri tipi di abitazioni staccate dal terreno - AA - architettura civile: in un'interno
41AA195|casa di neve, igloo - AA - architettura civile: in un'interno
41AA196|abitazione rupestre - AA - architettura civile: in un'interno
41AA32|porta - AA - porta simulata, porta finta
41AA321|aprire la porta - AA - porta simulata, porta finta
41AA3211|porta aperta - AA - porta simulata, porta finta
41AA3212|porta con ante divise a metà, con la parte superiore aperta - AA - porta simulata, porta finta
41AA3213|porta girevole - AA - porta simulata, porta finta
41AA322|chiudere, serrare la porta - AA - porta simulata, porta finta
41AA3221|porta chiusa - AA - porta simulata, porta finta
41AA323|porta monumentale, portico, 'aediculum' - AA - porta simulata, porta finta
41AA324|parte lavorata in metallo di una porta - AA - porta simulata, porta finta
41AA3241|battente, campanello della porta - AA - porta simulata, porta finta
41AA3242|maniglia, pomo della porta - AA - porta simulata, porta finta
41AA325|soglia - AA - porta simulata, porta finta
41AA3251|stipite, montante della porta - AA - porta simulata, porta finta
41AA3252|accessori relativi alla porta, p.es. spazzola o raschiatoio per gli stivali, zerbino - AA - porta simulata, porta finta
41AA326|cassetta della posta ~ porta - AA - porta simulata, porta finta
41AA327|catenella, apertura di sicurezza - AA - porta simulata, porta finta
41AA328|serratura ~ porta - AA - porta simulata, porta finta
41AA3281|chiave - AA - porta simulata, porta finta
41AA32811|chiave maestra, 'passe-partout', chiave universale - AA - porta simulata, porta finta
41AA3282|saliscendi - AA - porta simulata, porta finta
41AA3283|catenaccio - AA - porta simulata, porta finta
41AA3284|lucchetto - AA - porta simulata, porta finta
41AA33|finestra - AA - finestra finta
41AA331|aprire la finestra - AA - finestra finta
41AA3311|finestra aperta - AA - finestra finta
41AA332|chiudere, serrare la finestra - AA - finestra finta
41AA3321|finestra chiusa - AA - finestra finta
41AA333|imposte ~ finestra - AA - finestra finta
41AA3331|imposte all'esterno - AA - finestra finta
