2|natura
25FF36(PELICAN)|uccelli acquatici: pellicano - FF - animali fantastici
25FF36(SWAMP-HEN)|uccelli acquatici: pollosultano - FF - animali fantastici
25FF36(SWAN)|uccelli acquatici: cigno - FF - animali fantastici
25FF37|animali fantastici ~ caradri e trampolieri
25FF37(...)|caradri e trampolieri (col NOME) - FF - animali fantastici
25FF37(BITTERN)|caradri e trampolieri: tarabuso - FF - animali fantastici
25FF37(CRANE)|caradri e trampolieri: gru - FF - animali fantastici
25FF37(GULL)|caradri e trampolieri: gabbiano - FF - animali fantastici
25FF37(HERON)|caradri e trampolieri: airone - FF - animali fantastici
25FF37(IBIS)|caradri e trampolieri: ibis - FF - animali fantastici
25FF37(LAPWING)|caradri e trampolieri: pavoncella - FF - animali fantastici
25FF37(MARABOU)|caradri e trampolieri: marabù - FF - animali fantastici
25FF37(PLOVER)|caradri e trampolieri: piviere - FF - animali fantastici
25FF37(PURPLE WATER-HEN)|caradri e trampolieri: gallinella d'acqua - FF - animali fantastici
25FF37(SNIPE)|caradri e trampolieri: beccaccino - FF - animali fantastici
25FF37(STORK)|caradri e trampolieri: cicogna - FF - animali fantastici
25FF37(TROCHILUS)|caradri e trampolieri: piviere - FF - animali fantastici
25FF37(WOODCOCK)|caradri e trampolieri: beccaccia - FF - animali fantastici
25FF371|'caladrius', 'caradrio' (uccello favoloso)
25FF38|animali fantastici ~ colombiformi e rallidi
25FF38(...)|colombiformi e rallidi (col NOME) - FF - animali fantastici
25FF38(BUSTARD)|colombiformi e rallidi: ottarda - FF - animali fantastici
25FF38(OSTRICH)|colombiformi e rallidi: struzzo - FF - animali fantastici
25FF38(PARTRIDGE)|colombiformi e rallidi: pernice - FF - animali fantastici
25FF38(PHEASANT)|colombiformi e rallidi: fagiano - FF - animali fantastici
25FF38(QUAIL)|colombiformi e rallidi: quaglia - FF - animali fantastici
25FF38(TURKEY)|colombiformi e rallidi: tacchino - FF - animali fantastici
25FF39|altri uccelli
25FF39(...)|altri uccelli (col NOME) - FF - animali fantastici
25FF39(CUCKOO)|altri uccelli: cuculo - FF - animali fantastici
25FF39(DODO)|altri uccelli: dodo - FF - animali fantastici
25FF39(DOVE)|altri uccelli: colomba - FF - animali fantastici
25FF39(HOOPOE)|altri uccelli: upupa - FF - animali fantastici
25FF39(HUMMING-BIRD)|altri uccelli: colibrì - FF - animali fantastici
25FF39(KINGFISHER)|altri uccelli: martin pescatore - FF - animali fantastici
25FF39(TURTLE DOVE)|altri uccelli: tortora - FF - animali fantastici
25FF39(WOODPECKER)|altri uccelli: picchio - FF - animali fantastici
25FF39(WRYNECK)|altri uccelli: torcicollo - FF - animali fantastici
25FF4|animali fantastici ~ rettili
25FF41|animali fantastici ~ lacertidi
25FF41(...)|lacertidi (col NOME) - FF - animali fantastici
25FF41(CHAMELEON)|lacertidi: camaleonte - FF - animali fantastici
25FF41(LIZARD)|lacertidi: lucertola - FF - animali fantastici
25FF411|drago
25FF412|salamandra (animale fantastico); la salamandra come spirito del fuoco
25FF42|animali fantastici ~ serpenti (aspide, drago, hidrus, ecc.)
25FF42(...)|serpenti (col NOME) - FF - animali fantastici
25FF42(VIPER)|serpenti: vipera - FF - animali fantastici
25FF421|aspide
25FF422|drago (grande serpente favoloso, talvolta con ali e zampe)
25FF423|'hydrus' (serpente d'acqua)
25FF4231|idra; 'hydra'; 'Hidra' (Ripa)
25FF424|'amphisbaena' (serpente con una testa su ambedue le estremità)
25FF425|vipera cornuta
25FF4251|cerasta
25FF43|animali fantastici ~ coccodrilli
25FF43(...)|coccodrilli (col NOME) - FF - animali fantastici
25FF43(ALLIGATOR)|coccodrilli: alligatore - FF - animali fantastici
25FF43(CROCODILE)|coccodrilli: coccodrillo - FF - animali fantastici
25FF44|animali fantastici ~ tartarughe
25FF5|animali fantastici ~ anfibi
25FF51|animali fantastici ~ anfibi anuri
25FF51(...)|anfibi anuri (col NOME) - FF - animali fantastici
25FF51(FROG)|anfibi anuri: rana - FF - animali fantastici
25FF51(TOAD)|anfibi anuri: rospo - FF - animali fantastici
25FF52|animali fantastici ~ anfibi urodeli
25FF52(...)|anfibi urodeli (col NOME) - FF - animali fantastici
25FF6|animali fantastici ~ pesci
25FF61|leviatano (pesce fantastico)
25FF61(...)|condritti (col NOME) - FF - animali fantastici
25FF61(DOGFISH)|condritti: pescecane - FF - animali fantastici
25FF61(RAY)|condritti: razza - FF - animali fantastici
25FF61(SAWFISH)|condritti: pesce sega - FF - animali fantastici
25FF61(SHARK)|condritti: squalo - FF - animali fantastici
25FF62|cavallo marino, ippocampo (mostro mitologico ibrido)
25FF62(...)|osteitti (col NOME) - FF - animali fantastici
25FF62(BARBEL)|osteitti: barbio - FF - animali fantastici
25FF62(BUTTERFISH)|osteitti: butterfish (peprilus triachantus) - FF - animali fantastici
25FF62(CARP)|osteitti: carpa - FF - animali fantastici
25FF62(HERRING)|osteitti: aringa - FF - animali fantastici
25FF62(HIPPOCAMPUS)|osteitti: ippocampo - FF - animali fantastici
25FF62(LUNGFISH)|osteitti: dipnoo - FF - animali fantastici
25FF62(MACKEREL)|osteitti: maccarello - FF - animali fantastici
25FF62(MULLET)|osteitti: triglia - FF - animali fantastici
25FF62(PIKE)|osteitti: luccio - FF - animali fantastici
25FF62(PILOT-FISH)|osteitti: pesce pilota - FF - animali fantastici
25FF62(RED HERRING)|aringa rossa o aringa affumicata : Usare 41 C 68 (SMOKED HERRING); aringa : Usare 25 F 62 (HERRING) - FF - animali fantastici
25FF62(ROACH)|osteitti: lasca - FF - animali fantastici
25FF62(SALMON)|osteitti: salmone - FF - animali fantastici
25FF62(SARDINE)|osteitti: sardina - FF - animali fantastici
25FF62(SCARUS)|osteitti: scaro (pesce pappagallo) - FF - animali fantastici
25FF62(SEA-BREAM)|osteitti: pagello - FF - animali fantastici
25FF62(SEA-DEVIL)|osteitti: razza - FF - animali fantastici
25FF62(SEA-PERCH)|osteitti: pesce persico - FF - animali fantastici
25FF62(SEA-WOLF)|osteitti: pesce lupo - FF - animali fantastici
25FF62(SHEAT-FISH)|osteitti: siluro d'Europa - FF - animali fantastici
25FF62(STURGEON)|osteitti: storione - FF - animali fantastici
25FF62(SUN-FISH)|osteitti: pesce luna - FF - animali fantastici
25FF62(SWORD-FISH)|osteitti: pescespada - FF - animali fantastici
25FF62(TUNNY)|osteitti: tonno - FF - animali fantastici
25FF62(WEEVER)|osteitti: trachino - FF - animali fantastici
25FF63|pistrice, drago marino
25FF63(...)|anguilliformi (col NOME) - FF - animali fantastici
25FF63(EEL)|anguilliformi: anguilla - FF - animali fantastici
25FF63(LAMPREY)|anguilliformi: lampreda - FF - animali fantastici
25FF63(SEA-EEL)|anguilliformi: anguilla di mare - FF - animali fantastici
25FF64|remora, 'echeneis remora'
25FF64(...)|pesci abissali (col NOME) - FF - animali fantastici
25FF65|'serra' (pesce con pinne enormi)
25FF65(...)|altri pesci (col NOME) - FF - animali fantastici
25FF7|animali fantastici ~ invertebrati
25FF71|animali fantastici ~ artropodi
25FF711|'pyrausta'
25FF711(...)|insetti (col NOME) - FF - animali fantastici
25FF711(ANT)|insetti: formica - FF - animali fantastici
25FF711(BEE)|insetti: ape - FF - animali fantastici
25FF711(BEETLE)|insetti: coleottero - FF - animali fantastici
25FF711(BUTTERFLY)|insetti: farfalla - FF - animali fantastici
25FF711(CATERPILLAR)|insetti: bruco - FF - animali fantastici
25FF711(CICADA)|insetti: cicala - FF - animali fantastici
25FF711(CRICKET)|insetti: grillo - FF - animali fantastici
25FF711(DAY-FLY)|insetti: effimera - FF - animali fantastici
25FF711(DUNG-BEETLE)|insetti: stercorario - FF - animali fantastici
25FF711(FLY)|insetti: mosca - FF - animali fantastici
25FF711(GLOW-WORM)|insetti: lucciola - FF - animali fantastici
25FF711(GNAT)|insetti: culice - FF - animali fantastici
25FF711(GRASS-HOPPER)|insetti: cavalletta - FF - animali fantastici
25FF711(ICHNEUMON-FLY)|insetti: icneumonide - FF - animali fantastici
25FF711(LADYBIRD)|insetti: coccinella - FF - animali fantastici
25FF711(MANTIS)|insetti: mantide - FF - animali fantastici
25FF711(MOTH)|insetti: tignola - FF - animali fantastici
25FF711(PRAYING-MANTIS)|insetti: mantide religiosa - FF - animali fantastici
25FF711(SCARABAEUS)|insetti: scarabeo - FF - animali fantastici
25FF711(WASP)|insetti: vespa - FF - animali fantastici
25FF712|millepiedi - FF - animali fantastici
25FF713|ragni - FF - animali fantastici
25FF714|bachi - FF - animali fantastici
25FF715|scorpioni - FF - animali fantastici
25FF716|crostacei - FF - animali fantastici
25FF716(...)|crostacei (col NOME) - FF - animali fantastici
25FF716(CRAB)|crostacei: granchio - FF - animali fantastici
25FF716(LOBSTER)|crostacei: aragosta - FF - animali fantastici
25FF72|animali fantastici ~ molluschi
25FF72(...)|animali fantastici ~ molluschi (col NOME)
25FF72(CUTTLE-FISH)|molluschi: seppia - FF - animali fantastici
25FF72(KRAKEN)|animali fantastici ~ molluschi: kraken
25FF72(MUREX)|molluschi: murice - FF - animali fantastici
25FF72(MUSSEL)|molluschi: mitilo - FF - animali fantastici
25FF72(NAUTILUS)|molluschi: nautilo - FF - animali fantastici
25FF72(OCTOPUS)|molluschi: ottopode - FF - animali fantastici
25FF72(OYSTER)|molluschi: ostrica - FF - animali fantastici
25FF72(POLYP)|molluschi: polpo - FF - animali fantastici
25FF72(SNAIL)|molluschi: chiocciola - FF - animali fantastici
25FF72(SQUID)|molluschi: seppia - FF - animali fantastici
25FF73|vermi - FF - animali fantastici
25FF73(...)|vermi (col NOME) - FF - animali fantastici
25FF74|echinodermi - FF - animali fantastici
25FF74(...)|echinodermi (col NOME) - FF - animali fantastici
25FF74(SEA-URCHIN)|echinodermi: riccio di mare - FF - animali fantastici
25FF74(STARFISH)|echinodermi: stella marina - FF - animali fantastici
25FF75|celenterati - FF - animali fantastici
25FF75(...)|celenterati (col NOME) - FF - animali fantastici
25FF75(CORAL)|celenterati: corallo - FF - animali fantastici
25FF75(JELLY-FISH)|celenterati: medusa - FF - animali fantastici
25FF75(SPONGE)|celenterati: spugna - FF - animali fantastici
25FF76|organismi unicellulari, batteri, bacilli - FF - animali fantastici
25FF8|animali fantastici ~ animali estinti
25FF8(...)|animali estinti (col NOME) - FF - animali fantastici
25FF81|animali preistorici - FF - animali fantastici
25FF82|animali fossili - FF - animali fantastici
25FF9|altri animali fantastici che non possono essere classificati sotto 25 FF 2 -25 FF 7
25FF91|mostri più grandi del normale - FF - animali fantastici
25FF92|mostri più piccoli del normale - FF - animali fantastici
25FF93|parto plurigemellare ~ animali deformi, mostri - FF - animali fantastici
25FF94|mostri mancanti di alcune parti - FF - animali fantastici
25FF95|mostri con alcune parti in numero maggiore del naturale - FF - animali fantastici
25FF951|animali con tre teste - FF - animali fantastici
25FF952|bicorpori, animali con due corpi e una sola testa - FF - animali fantastici
25FF96|mostri con membra, organi, ecc. posizionati in posti non normali - FF - animali fantastici
25FF97|mostri con parti, membra, organi, ecc. di forma anormale - FF - animali fantastici
25FF971|mostri con parti, membra, organi, ecc. più grandi del normale - FF - animali fantastici
25FF972|mostri con parti, membra, organi, ecc. più piccoli del normale - FF - animali fantastici
25G|piante; vegetazione
25G1|piante (in generale)
25G11|gruppi di alberi
25G12|gruppi di arbusti
25G13|gruppi di piante
25G14|gruppi di piante inferiori
25G2|prodotti delle piante in generale
25G21|frutti
25G21(...)|frutti (col NOME)
25G21(ACORN)|frutti: ghianda
25G21(ALMOND)|frutti: mandorla
25G21(APPLE)|frutti: mela
25G21(BEANS)|frutti: fagioli
25G21(BILBERRY)|frutti: mirtillo
25G21(BLACKBERRY)|frutta: mora
25G21(CHERRY)|frutti: ciliegia
25G21(CHESTNUT)|frutti: castagna
25G21(FIG)|frutti: fico
25G21(GOURD)|frutti: zucca
25G21(HAZELNUT)|frutti: nocciola
25G21(KAKI PERSIMMON)|frutti: diospyros kaki
25G21(LEMON)|frutti: limone
25G21(MEDLAR)|frutti: nespola
25G21(MELON)|frutti: melone
25G21(MULBERRY)|frutti: gelso
25G21(NUTS)|frutti: nocciole
25G21(OLIVE)|frutti: oliva
25G21(ORANGE)|frutti: arancia
25G21(PEACH)|frutti: pesca
25G21(PEAR)|frutti: pera
25G21(PINE-CONE)|frutti: pigna
25G21(PINEAPPLE)|frutti: ananas
25G21(PLUM)|frutti: prugna
25G21(POMEGRANATE)|frutti: melagranata
25G21(PUMPKIN)|frutti: zucca
25G21(QUINCE)|frutti: cotogna
25G21(RASPBERRY)|frutti: lampone
25G21(SPRUCE-CONE)|frutti: pigna di abete
25G21(STRAWBERRY)|frutti: fragola
25G21(WALNUT)|frutti: noce
25G211|parti di un frutto
25G211(...)|parti di un frutto (col NOME)
25G211(NUTSHELL)|parti di un frutto: guscio di noce
25G2111|semi
25G2111(...)|semi (col NOME)
25G2111(PEA)|semi: pisello
25G2111(THISTLE-SEED)|semi: seme di cardo
25G22|altri prodotti di piante o alberi (ad esclusione dei frutti)
25G22(...)|altri prodotti di piante o alberi (col NOME) (ad esclusione dei frutti)
25G22(ASPARAGUS)|altri prodotti di piante o alberi: asparago
25G22(CINNAMON)|altri prodotti di piante o alberi: cinnamomo, cannella
25G22(ONION)|altri prodotti di piante o alberi: cipolla
25G22(RADISH)|altri prodotti di piante o alberi: rafano, ravanello
25G22(TURNIP)|prodotti di piante o alberi: rapa
25G3|alberi
25G3(...)|alberi (col NOME)
25G3(ACACIA)|alberi: acacia
25G3(ACER)|alberi: acer
25G3(ALDER)|alberi: ontano
25G3(ALMOND-TREE)|alberi: mandorlo
25G3(APPLE-TREE)|alberi: melo
25G3(ASH-TREE)|alberi: frassino
25G3(AVOCADO)|alberi: avocado
25G3(BEECH)|alberi: faggio
25G3(BIRCH)|alberi: betulla
25G3(CEDAR)|alberi: cedro
25G3(CHERRY-TREE)|alberi: albero di ciliegio
25G3(COCONUT-TREE)|alberi: cocco
25G3(CYPRESS)|alberi: cipresso
25G3(DATE-PALM)|alberi: palma da dattero
25G3(DRACENA)|alberi: dracena
25G3(ELM)|alberi: olmo
25G3(FIG-TREE)|alberi: fico
25G3(FIR)|alberi: abete
25G3(HOLM-OAK)|alberi: leccio
25G3(INDIAN BANYAN)|alberi: banyan Indiano
25G3(LAUREL)|alberi: lauro
25G3(LEMON-TREE)|alberi: limone
25G3(LINDEN)|alberi: tiglio
25G3(MULBERRY-TREE)|alberi: gelso
25G3(MYRRH-TREE)|alberi: laserpizio
25G3(OAK)|alberi: quercia
25G3(OLEASTER)|alberi: oleastro
25G3(OLIVE-TREE)|alberi: olivo
25G3(ORANGE-TREE)|alberi: arance
25G3(PALM-TREE)|alberi: palma
25G3(PEACH-TREE)|alberi: pesco
25G3(PEAR-TREE)|alberi: pera
25G3(PINE)|alberi: pino
25G3(PLANE-TREE)|alberi: platano
25G3(PLUM-TREE)|alberi: susino
25G3(POMEGRANATE-TREE)|alberi: melograno
25G3(POPLAR)|alberi: pioppo
25G3(QUINCE-TREE)|alberi: cotogno
25G3(SPRUCE)|alberi: abete rosso
25G3(STINKING BEAN TREFOIL)|alberi: anagiride
25G3(WALNUT-TREE)|alberi: noce
25G3(WHITE POPLAR)|alberi: pioppo bianco
25G3(WILLOW)|alberi: salice
25G3(YEW)|alberi: tasso
25G31|arbusti
25G31(...)|arbusti (col NOME)
25G31(BLACKBERRY-BUSH)|arbusti: rovo di more
25G31(BOX)|arbusti: bosso
25G31(BROOM)|arbusti: ginestra
25G31(BUCKTHORN)|arbusti: ramno
25G31(HAZEL)|arbusti: nocciolo
25G31(JUNIPER)|arbusti: ginepro
25G31(MYRTLE)|arbusti: mirto
25G31(OLEANDER)|arbusti: oleandro
25G31(PRIVET)|arbusti: ligustro
25G31(ROSE-BUSH)|arbusti: cespuglio di rose
25G39|albero come schema di relazioni, diagramma in forma di albero
25G391|albero filosofico (Arbor philosophicus) ~ alchimia
25G4|piante ed erbe
25G4(...)|piante ed erbe (col NOME)
25G4(ACANTHUS)|piante ed erbe: acanto
25G4(ALOE)|piante ed erbe: aloe
25G4(AMARANTH)|piante ed erbe: amaranto
25G4(ARTICHOKE)|piante ed erbe: carciofo
25G4(BASIL)|piante ed erbe: basilico
25G4(BEAN)|piante ed erbe: fagiolo
25G4(CABBAGE)|piante ed erbe: cavolo
25G4(CACTUS)|piante ed erbe: cactus
25G4(CAMOMILE)|piante ed erbe: camomilla
25G4(CHONDRILLA)|piante ed erbe: condrilla, cicoria
25G4(CLOVER)|piante ed erbe: trifoglio
25G4(DICTAMNUS)|piante ed erbe: dittamo
25G4(FIELD ERYNGO)|piante ed erbe: calcatreppola
25G4(FLEA-BANE)|piante ed erbe: pulicaria
25G4(GARLIC)|piante ed erbe: aglio
25G4(GERMANDER)|piante ed erbe: camedrio
25G4(GIANT FENNEL)|piante ed erbe: finocchio gigante
25G4(GROUNDSEL)|piante ed erbe: senecione
25G4(HELLEBORE)|piante ed erbe: elleboro
25G4(HEMLOCK)|piante ed erbe: cicuta
25G4(HENBANE)|piante ed erbe: ebano
25G4(HOP)|piante ed erbe: luppolo
25G4(HOUSELEEK)|piante ed erbe: semprevivo
25G4(HYSSOP)|piante ed erbe: issopo
25G4(IVY)|piante ed erbe: edera
25G4(LETTUCE)|piante ed erbe: lattuga
25G4(LUPIN)|piante ed erbe: lupino
25G4(MANDRAKE)|piante ed erbe: mandragora
25G4(MARJORAM)|piante ed erbe: maggiorana
25G4(MISTLETOE)|piante ed erbe: vischio
25G4(NETTLE)|piante ed erbe: ortica
25G4(ORIGANUM)|piante ed erbe: origano
25G4(PEA)|piante ed erbe: pisello
25G4(PENNYROYAL)|piante ed erbe: menta romana
25G4(PEONY)|piante ed erbe: peonia
25G4(PUMPKIN)|piante ed erbe: zucca
25G4(REED)|piante ed erbe: canna
25G4(ROCKET)|piante ed erbe: ruca, ruchetta
25G4(RUE)|piante ed erbe: ruta
25G4(SAFFRON)|piante ed erbe: zafferano
25G4(SAGE)|piante ed erbe: salvia
25G4(STINGING-NETTLE)|piante ed erbe: ortica
25G4(STRAWBERRY)|piante ed erbe: fragola
25G4(SUNDEW)|piante ed erbe: drosera
25G4(THISTLE)|piante ed erbe: cardo
25G4(THYME)|piante ed erbe: timo
25G4(WATER-HEMLOCK)|piante ed erbe: cicuta acquatica
25G4(WHEAT)|piante ed erbe: frumento
25G4(WORMWOOD)|piante ed erbe: assenzio
25G41|fiori
25G41(...)|fiori (col NOME)
25G41(ALMOND-BLOSSOM)|fiori: fiore di mandorlo
25G41(ANEMONE)|fiori: anemone
25G41(BUTTERCUP)|fiori: ranuncolo
25G41(CARNATION)|fiori: garofano
25G41(COLUMBINE)|fiori: aquilegia
25G41(CORNFLOWER)|fiori: fiordaliso
25G41(CROCUS)|fiori: croco
25G41(HELIOTROPE)|fiori: eliotropio
25G41(HYACINTH)|fiori: giacinto
25G41(IMMORTELLE)|fiori: semprevivo
25G41(LILY)|fiori: giglio
25G41(LOTUS)|fiori: loto
25G41(NARCISSUS)|fiori: narciso
25G41(ORCHID)|fiori: orchidea
25G41(PETUNIA)|fiori: petunia
25G41(POPPY)|fiori: papavero
25G41(ROSE)|fiori: rosa
25G41(SUNFLOWER)|fiori: girasole
25G41(TULIP)|fiori: tulipano
25G41(VIOLET)|fiori: violetta
25G41(WATER-LILY)|fiori: ninfea
25G411|fiori recisi; mazzo di fiori, fascio di fiori
25G411(...)|fiori recisi; mazzo di fiori, fascio di fiori (col NOME)
25G4111|corona, ghirlanda
25G412|fiori secchi
25G412(...)|fiori secchi (col NOME)
25G49|piante e fiori artificiali
25G5|piante inferiori
25G51|felci
25G52|muschi
25G53|alghe; alghe marine
25G54|funghi
25G541|funghi mangerecci
25G55|licheni
25G56|altre piante inferiori
25G56(...)|altre piante inferiori (col NOME)
25G6|piante estinte
25G6(...)|piante estinte (col NOME)
25G61|piante preistoriche
25G62|piante fossili
25G7|linguaggio dei fiori
25GG|piante fantastiche, vegetazione fantastica
25GG1|piante fantastiche (in generale)
25GG11|gruppi di alberi fantastici
25GG12|gruppi di arbusti fantastici
25GG13|gruppi di piante fantastiche
25GG14|gruppi di piante inferiori fantastiche
25GG2|prodotti di piante fantastiche in generale
25GG21|frutti di piante fantastiche
25GG21(...)|frutti di piante fantastiche (col NOME)
25GG21(ACORN)|frutti: ghianda - GG - piante fantastiche, vegetazione fantastica
25GG21(ALMOND)|frutti: mandorla - GG - piante fantastiche, vegetazione fantastica
25GG21(APPLE)|frutti: mela - GG - piante fantastiche, vegetazione fantastica
25GG21(BEANS)|frutti: fagioli - GG - piante fantastiche, vegetazione fantastica
25GG21(BILBERRY)|frutti: mirtillo - GG - piante fantastiche, vegetazione fantastica
25GG21(CHERRY)|frutti: ciliegia - GG - piante fantastiche, vegetazione fantastica
25GG21(CHESTNUT)|frutti: castagna - GG - piante fantastiche, vegetazione fantastica
25GG21(FIG)|frutti: fico - GG - piante fantastiche, vegetazione fantastica
25GG21(GOURD)|frutti: zucca - GG - piante fantastiche, vegetazione fantastica
25GG21(LEMON)|frutti: limone - GG - piante fantastiche, vegetazione fantastica
25GG21(MEDLAR)|frutti: nespola - GG - piante fantastiche, vegetazione fantastica
25GG21(MELON)|frutti: melone - GG - piante fantastiche, vegetazione fantastica
25GG21(NUTS)|frutti: nocciole - GG - piante fantastiche, vegetazione fantastica
25GG21(PEACH)|frutti: pesca - GG - piante fantastiche, vegetazione fantastica
25GG21(PEAR)|frutti: pera - GG - piante fantastiche, vegetazione fantastica
25GG21(PINE-CONE)|frutti: pigna - GG - piante fantastiche, vegetazione fantastica
25GG21(PINEAPPLE)|frutti: ananas - GG - piante fantastiche, vegetazione fantastica
25GG21(PLUM)|frutti: prugna - GG - piante fantastiche, vegetazione fantastica
25GG21(POMEGRANATE)|frutti: melagranata - GG - piante fantastiche, vegetazione fantastica
25GG21(PUMPKIN)|frutti: zucca - GG - piante fantastiche, vegetazione fantastica
25GG21(QUINCE)|frutti: cotogna - GG - piante fantastiche, vegetazione fantastica
25GG21(SPRUCE-CONE)|frutti: pigna di abete - GG - piante fantastiche, vegetazione fantastica
25GG21(STRAWBERRY)|frutti: fragola - GG - piante fantastiche, vegetazione fantastica
25GG21(WALNUT)|frutti: noce - GG - piante fantastiche, vegetazione fantastica
25GG211|parti del frutto di pianta fantastica
25GG211(...)|parti del frutto di pianta fantastica (col NOME)
25GG211(NUTSHELL)|parti di un frutto: guscio di noce - GG - piante fantastiche, vegetazione fantastica
25GG2111|seme di pianta fantastica
25GG2111(...)|seme di pianta fantastica (col NOME)
25GG2111(PEA)|semi: pisello - GG - piante fantastiche, vegetazione fantastica
25GG2111(THISTLE-SEED)|semi: seme di cardo - GG - piante fantastiche, vegetazione fantastica
25GG22|prodotti (esclusi i frutti) di piante o alberi fantastici
25GG22(...)|prodotti (esclusi i frutti) di piante o alberi fantastici (col NOME)
25GG22(ASPARAGUS)|altri prodotti di piante o alberi: asparago - GG - piante fantastiche, vegetazione fantastica
25GG22(CINNAMON)|altri prodotti di piante o alberi: cinnamomo, cannella - GG - piante fantastiche, vegetazione fantastica
25GG22(ONION)|altri prodotti di piante o alberi: cipolla - GG - piante fantastiche, vegetazione fantastica
25GG22(RADISH)|altri prodotti di piante o alberi: rafano, ravanello - GG - piante fantastiche, vegetazione fantastica
25GG22(TURNIP)|prodotti di piante o alberi: rapa - GG - piante fantastiche, vegetazione fantastica
25GG3|alberi fantastici
25GG3(...)|alberi fantastici (col NOME)
25GG3(ACACIA)|alberi: acacia - GG - piante fantastiche, vegetazione fantastica
25GG3(ALDER)|alberi: ontano - GG - piante fantastiche, vegetazione fantastica
25GG3(ALMOND-TREE)|alberi: mandorlo - GG - piante fantastiche, vegetazione fantastica
25GG3(APPLE-TREE)|alberi: melo - GG - piante fantastiche, vegetazione fantastica
25GG3(AVOCADO)|alberi: avocado - GG - piante fantastiche, vegetazione fantastica
25GG3(BEECH)|alberi: faggio - GG - piante fantastiche, vegetazione fantastica
25GG3(BIRCH)|alberi: betulla - GG - piante fantastiche, vegetazione fantastica
25GG3(CEDAR)|alberi: cedro - GG - piante fantastiche, vegetazione fantastica
25GG3(COCONUT-TREE)|alberi: cocco - GG - piante fantastiche, vegetazione fantastica
25GG3(CYPRESS)|alberi: cipresso - GG - piante fantastiche, vegetazione fantastica
25GG3(DATE-PALM)|alberi: palma da dattero - GG - piante fantastiche, vegetazione fantastica
25GG3(DRACENA)|alberi: dracena - GG - piante fantastiche, vegetazione fantastica
25GG3(ELM)|alberi: olmo - GG - piante fantastiche, vegetazione fantastica
25GG3(FIG-TREE)|alberi: fico - GG - piante fantastiche, vegetazione fantastica
25GG3(FIR)|alberi: abete - GG - piante fantastiche, vegetazione fantastica
25GG3(HOLM-OAK)|alberi: leccio - GG - piante fantastiche, vegetazione fantastica
25GG3(LAUREL)|alberi: lauro - GG - piante fantastiche, vegetazione fantastica
25GG3(LEMON-TREE)|alberi: limone - GG - piante fantastiche, vegetazione fantastica
25GG3(LINDEN)|alberi: tiglio - GG - piante fantastiche, vegetazione fantastica
25GG3(MULBERRY-TREE)|alberi: gelso - GG - piante fantastiche, vegetazione fantastica
25GG3(MYRRH-TREE)|alberi: laserpizio - GG - piante fantastiche, vegetazione fantastica
25GG3(OAK)|alberi: quercia - GG - piante fantastiche, vegetazione fantastica
25GG3(OLIVE-TREE)|alberi: olivo - GG - piante fantastiche, vegetazione fantastica
25G3(OLIVE-TREE)|alberi: olivo - GG - piante fantastiche, vegetazione fantastica
25GG3(PALM-TREE)|alberi: palma - GG - piante fantastiche, vegetazione fantastica
25GG3(PEACH-TREE)|alberi: pesco - GG - piante fantastiche, vegetazione fantastica
25GG3(PINE)|alberi: pino - GG - piante fantastiche, vegetazione fantastica
25GG3(PLANE-TREE)|alberi: platano - GG - piante fantastiche, vegetazione fantastica
25GG3(POMEGRANATE-TREE)|alberi: melograno - GG - piante fantastiche, vegetazione fantastica
25GG3(POPLAR)|alberi: pioppo - GG - piante fantastiche, vegetazione fantastica
25GG3(QUINCE-TREE)|alberi: cotogno - GG - piante fantastiche, vegetazione fantastica
25GG3(SPRUCE)|alberi: abete rosso - GG - piante fantastiche, vegetazione fantastica
25GG3(STINKING BEAN TREFOIL)|alberi: anagiride - GG - piante fantastiche, vegetazione fantastica
25GG3(WALNUT-TREE)|alberi: noce - GG - piante fantastiche, vegetazione fantastica
25GG3(WHITE POPLAR)|alberi: pioppo bianco - GG - piante fantastiche, vegetazione fantastica
25GG3(WILLOW)|alberi: salice - GG - piante fantastiche, vegetazione fantastica
25GG3(YEW)|alberi: tasso - GG - piante fantastiche, vegetazione fantastica
25GG31|arbusti fantastici
25GG31(...)|arbusti fantastici (col NOME)
25GG31(BLACKBERRY-BUSH)|arbusti: rovo di more - GG - piante fantastiche, vegetazione fantastica
25GG31(BOX)|arbusti: bosso - GG - piante fantastiche, vegetazione fantastica
25GG31(BROOM)|arbusti: ginestra - GG - piante fantastiche, vegetazione fantastica
25GG31(BUCKTHORN)|arbusti: ramno - GG - piante fantastiche, vegetazione fantastica
25GG31(HAZEL)|arbusti: nocciolo - GG - piante fantastiche, vegetazione fantastica
25GG31(JUNIPER)|arbusti: ginepro - GG - piante fantastiche, vegetazione fantastica
25GG31(MYRTLE)|arbusti: mirto - GG - piante fantastiche, vegetazione fantastica
25GG31(OLEANDER)|arbusti: oleandro - GG - piante fantastiche, vegetazione fantastica
25GG31(PRIVET)|arbusti: ligustro - GG - piante fantastiche, vegetazione fantastica
25GG31(ROSE-BUSH)|arbusti: cespuglio di rose - GG - piante fantastiche, vegetazione fantastica
25GG39|albero come schema di relazioni, diagramma in forma di albero - GG - piante fantastiche, vegetazione fantastica
25GG4|piante o erbe fantastiche
25GG4(...)|piante e erbe fantastiche (col NOME)
