2|Natur
25F37(STORK)|Schnepfen- und Watvögel: Storch
25F37(TROCHILUS)|Schnepfen- und Watvögel: Grasmücke
25F37(WOODCOCK)|Schnepfen- und Watvögel: Waldschnepfe
25F38|Laufvögel
25F38(...)|Laufvögel (mit NAMEN)
25F38(BUSTARD)|Laufvögel: Trappe
25F38(OSTRICH)|Laufvögel: Strauß
25F38(PARTRIDGE)|Laufvögel: Rebhuhn
25F38(PHEASANT)|Laufvögel: Fasan
25F38(QUAIL)|Laufvögel: Wachtel
25F38(TURKEY)|Laufvögel: Truthahn
25F39|andere Vögel
25F39(...)|andere Vögel (mit NAMEN)
25F39(CUCKOO)|andere Vögel: Kukuck
25F39(DODO)|andere Vögel: Dodo
25F39(DOVE)|andere Vögel: Taube
25F39(HOOPOE)|andere Vögel: Wiedehopf
25F39(HUMMING-BIRD)|andere Vögel: Kolibri
25F39(KINGFISHER)|andere Vögel: Eisvogel
25F39(TURTLE DOVE)|andere Vögel: Turteltaube
25F39(WOODPECKER)|andere Vögel: Specht
25F39(WRYNECK)|andere Vögel: Wendehals
25F4|Reptilien
25F41|Eidechsen
25F41(...)|Eidechsen (mit NAMEN)
25F41(CHAMELEON)|Eidechsen: Chamäleon
25F41(LIZARD)|Eidechsen: Berg-, Waldeidechse
25F42|Schlangen
25F42(...)|Schlangen (mit NAMEN)
25F42(VIPER)|Schlangen: Viper
25F43|Krokodile
25F43(...)|Krokodile (mit NAMEN)
25F43(ALLIGATOR)|Krokodile: Alligator
25F43(CROCODILE)|Krokodile: Nilkrokodil
25F44|Schildkröten
25F5|Amphibien
25F51|schwanzlose Amphibien
25F51(...)|schwanzlose Amphibien (mit Namen)
25F51(FROG)|Amphibien: Frosch
25F51(TOAD)|schwanzlose Amphibien: Kröte
25F52|Amphibien mit Schwanz
25F52(...)|Amphibien mit Schwanz (mit NAMEN)
25F6|Fische
25F6(...)|Fische (mit NAMEN)
25F61|Knorpelfische
25F61(...)|Knorpelfische (mit NAMEN)
25F61(DOGFISH)|Knorpelfische: kleiner Hai
25F61(RAY)|Knorpelfische: Rochen
25F61(SAWFISH)|Knorpelfische: Sägefisch
25F61(SHARK)|Knorpelfische: Hai
25F62|Knochenfische
25F62(...)|Knochenfische (mit NAMEN)
25F62(BARBEL)|Knochenfische: Barbe
25F62(BUTTERFISH)|Knochenfische: Butterfisch
25F62(CARP)|Knochenfische: Karpfen
25F62(HERRING)|Knochenfische: Hering
25F62(HIPPOCAMPUS)|Knochenfische: Hippokampus
25F62(LUNGFISH)|Knochenfische: Lungenfisch
25F62(MACKEREL)|Knochenfische: Makrele
25F62(MULLET)|Knochenfische: Meeräsche
25F62(PIKE)|Knochenfische: Hecht
25F62(PILOT-FISH)|Knochenfische: Lotsenfisch
25F62(RED HERRING)|Räucherhering: 41 C 68 (RED HERRING) oder 25 F 62 (HERRING) verwenden
25F62(ROACH)|Knochenfische: Plötze, Rotauge
25F62(SALMON)|Knochenfische: Lachs
25F62(SARDINE)|Knochenfische: Sardine
25F62(SCARUS)|Knochenfische: Seepapageifisch
25F62(SEA-BREAM)|Knochenfische: Meerbrasse
25F62(SEA-DEVIL)|Knochenfische: Seeteufel
25F62(SEA-PERCH)|Knochenfische: Seebarsch
25F62(SEA-WOLF)|Knochenfische: Seewolf
25F62(SHEAT-FISH)|Knochenfische: Wels
25F62(STURGEON)|Knochenfische: Stör
25F62(SUN-FISH)|Knochenfische: Sonnenfisch
25F62(SWORD-FISH)|Knochenfische: Schwertfisch
25F62(TUNNY)|Knochenfische: Thunfisch
25F62(WEEVER)|Knochenfische: Drachenfisch
25F63|Aale
25F63(...)|Aale (mit NAMEN)
25F63(EEL)|Aale: Flußaal
25F63(LAMPREY)|Aale: Neunauge
25F63(SEA-EEL)|Aale: Meeraal
25F64|Tiefseefische
25F64(...)|Tiefseefische (mit NAMEN)
25F65|andere Fische
25F65(...)|andere Fische (mit NAMEN)
25F7|niedere Tiere
25F71|Gliederfüßer
25F711|Insekten
25F711(...)|Insekten (mit NAMEN)
25F711(ANT)|Insekten: Ameise
25F711(BEE)|Insekten: Biene
25F711(BEETLE)|Insekten: Käfer
25F711(BUTTERFLY)|Insekten: Schmetterling
25F711(CATERPILLAR)|Insekten: Raupe
25F711(CICADA)|Insekten: Zikade
25F711(CRICKET)|Insekten: Grille
25F711(DAY-FLY)|Insekten: Eintagsfliege
25F711(DRAGON-FLY)|Insekten: Libelle
25F711(DUNG-BEETLE)|Insekten: Mistkäfer
25F711(FLEA)|Insekten: Floh
25F711(FLY)|Insekten: Fliege
25F711(GLOW-WORM)|Insekten: Glühwürmchen
25F711(GNAT)|Insekten: Mücke
25F711(GRASS-HOPPER)|Insekten: Heuschrecke
25F711(HORNET)|Insekten: Dasselfliege
25F711(ICHNEUMON-FLY)|Insekten: Schlupfwespe
25F711(LADYBIRD)|Insekten: Marienkäfer
25F711(LOUSE)|Insekten: Laus
25F711(MANTIS)|Insekten: Fangheuschrecke
25F711(MOSQUITO)|Insekten: Mücke
25F711(MOTH)|Insekten: Motte
25F711(PRAYING-MANTIS)|Insekten: Gottesanbeterin
25F711(SCARABAEUS)|Insekten: Skarabäus
25F711(WASP)|Insekt: Wespe
25F712|Hundertfüßler, Tausendfüßler
25F713|Spinnen
25F713(...)|Spinnen (mit NAMEN)
25F714|Milben
25F715|Skorpione
25F716|Krustentiere
25F716(...)|Krustentiere (mit NAMEN)
25F716(CRAB)|Krustentiere: Krabbe
25F716(LOBSTER)|Krustentiere: Hummer
25F72|Mollusken, Weichtiere
25F72(...)|Mollusken (mit NAMEN)
25F72(CUTTLE-FISH)|Mollusken: Tintenfisch
25F72(MUREX)|Mollusken: Stachelschnecke
25F72(MUSSEL)|Mollusken: Muschel
25F72(NAUTILUS)|Mollusken: Nautilus
25F72(OCTOPUS)|Mollusken: Krake
25F72(OYSTER)|Mollusken: Auster
25F72(POLYP)|Mollusken: Polyp
25F72(SNAIL)|Mollusken: Schnecke
25F72(SQUID)|Perses (+ Apotheose, Vergöttlichung)
25F73|Würmer
25F73(...)|Würmer (mit NAMEN)
25F74|Stachelhäuter
25F74(...)|Stachelhäuter (mit NAMEN)
25F74(SEA-URCHIN)|Stachelhäuter: Seeigel
25F74(STARFISH)|Stachelhäuter: Seestern
25F75|Hohltiere
25F75(...)|Hohltiere (mit NAMEN)
25F75(CORAL)|Hohltiere: Koralle
25F75(JELLY-FISH)|Hohltiere: Qualle
25F75(SPONGE)|Hohltiere: Schwamm
25F76|Einzeller, Bakterien, Bazillen
25F8|ausgestorbene Tiere
25F8(...)|ausgestorbene Tiere (mit NAMEN)
25F81|vorgeschichtliche Tiere
25F82|versteinerte Tiere
25F9|mißgestaltete Tiere, Ungeheuer
25F91|außergewöhnlich große Ungeheuer
25F92|außergewöhnlich kleine Ungeheuer
25F93|Mehrlingsgeburt mißgestalteter Tiere bzw. von Ungeheuern
25F94|Ungeheuer mit fehlenden Körperteilen
25F95|Ungeheuer mit außergewöhnlich großen Körperteilen
25F951|dreiköpfiges Tier
25F952|zweileibige Tiere (mit zwei Körpern und einem einzigen Kopf)
25F96|Ungeheuer mit Gliedmaßen, Organen etc. an ungewöhnlichen Körperstellen
25F97|Ungeheuer mit Körperteilen, Gliedmaßen, Organen etc. von außergewöhnlicher Form
25F971|Ungeheuer mit außergewöhnlich großen Körperteilen, Gliedmaßen, Organen etc.
25F972|Ungeheuer mit außergewöhnlich kleinen Körperteilen, Gliedmaßen, Organen etc.
25FF|Fabeltiere (manchmal fälschlich: Grotesken); Ripa: Mostri
25FF1|Gruppen verschiedener Fabeltiere
25FF2|Fabeltiere: Säugetiere
25FF21|Fabeltiere: Haustiere
25FF22|Fabeltiere: Affen
25FF22(...)|Affen (mit NAMEN) - FF - Fabeltiere
25FF22(BABOON)|Affen: Pavian - FF - Fabeltiere
25FF23|Fabeltiere: Raubtiere
25FF23(...)|Raubtiere als Fabeltiere (mit NAMEN)
25FF23(BADGER)|Raubtiere: Dachs - FF - Fabeltiere
25FF23(BEAR)|Raubtiere: Bär - FF - Fabeltiere
25FF23(CHEETAH)|Raubtiere: Gepard - FF - Fabeltiere
25FF23(CROCOTAS)|Raubtiere als Fabeltiere: Crocotas
25FF23(ERMINE)|Raubtiere: Hermelin - FF - Fabeltiere
25FF23(FERRET)|Raubtiere: Frettchen - FF - Fabeltiere
25FF23(FOX)|Raubtiere: Fuchs - FF - Fabeltiere
25FF23(HYENA)|Raubtiere: Hyäne - FF - Fabeltiere
25FF23(ICHNEUMON)|Raubtiere: Ichneumon, Mungo - FF - Fabeltiere
25FF23(LEOPARD)|Raubtiere: Leopard - FF - Fabeltiere
25FF23(LION)|Raubtiere: Löwe - FF - Fabeltiere
25FF23(LYNX)|Raubtiere: Luchs - FF - Fabeltiere
25FF23(MANGOUSTE)|Raubtiere: Kusimanse (Schleichkatze) - FF - Fabeltiere
25FF23(MARTEN)|Raubtiere: Marder - FF - Fabeltiere
25FF23(OTTER)|Raubtiere: Otter - FF - Fabeltiere
25FF23(PANTHER)|Raubtiere: Panther - FF - Fabeltiere
25FF23(SABLE)|Raubtiere: Zobel - FF - Fabeltiere
25FF23(TIGER)|Raubtiere: Tiger - FF - Fabeltiere
25FF23(WEASEL)|Raubtiere: Wiesel - FF - Fabeltiere
25FF23(WOLF)|Raubtiere: Wolf - FF - Fabeltiere
25FF231|Greif (Löwe/Adler); Ripa: Griffo
25FF232|Chimäre (Löwe/Ziege/Schlange); Ripa: Chimera
25FF233|Hyäne, die das Geschlecht wechseln kann
25FF24|Fabeltiere: Huftiere
25FF24(...)|Huftiere als Fabeltiere (mit NAMEN)
25FF24(ANTELOPE)|Huftiere: Antilope - FF - Fabeltiere
25FF24(BISON)|Huftiere: Bison - FF - Fabeltiere
25FF24(BOAR)|Huftiere: Eber, Wildschwein - FF - Fabeltiere
25FF24(BONNACON)|Huftiere als Fabeltiere: Bonnacon
25FF24(CAMEL)|Huftiere: Kamel - FF - Fabeltiere
25FF24(CATOBLEPAS)|Huftiere als Fabeltiere: Catoblepas
25FF24(DEER)|Huftiere: Reh - FF - Fabeltiere
25FF24(DROMEDARY)|Huftiere: Dromedar - FF - Fabeltiere
25FF24(ELK)|Huftiere: Elch - FF - Fabeltiere
25FF24(GAZELLE)|Huftiere: Gazelle - FF - Fabeltiere
25FF24(GIRAFFE)|Huftiere: Giraffe - FF - Fabeltiere
25FF24(GNU)|Huftiere: Gnu - FF - Fabeltiere
25FF24(HIPPOPOTAMUS)|Huftiere: Nilpferd - FF - Fabeltiere
25FF24(IBEX)|Huftiere: Steinbock - FF - Fabeltiere
25FF24(MUSK-DEER)|Huftiere: Moschustier - FF - Fabeltiere
25FF24(ONAGER)|Huftiere: Onager - FF - Fabeltiere
25FF24(ORYX)|Huftiere: Spießbock - FF - Fabeltiere
25FF24(OX WITH ONE HORN)|Huftiere als Fabeltiere: Ochse mit einem Horn
25FF24(OX WITH THREE HORNS)|Huftiere als Fabeltiere: Ochse mit drei Hörnern
25FF24(PEGASUS)|Huftiere als Fabeltiere: Pegasus: hier entweder 93 D 1 (Pegasus) oder 25 FF (geflügeltes Pferd) für das entsprechende Fabeltier im nicht klassisch-mythologischen Kontext benutzen
25FF24(QUAGGA)|Huftiere: Zebra - FF - Fabeltiere
25FF24(RHINOCEROS)|Huftiere: Rhinozeros - FF - Fabeltiere
25FF24(STAG)|Huftiere: Hirsch - FF - Fabeltiere
25FF24(WINGED HORSE)|Huftiere als Fabeltiere: geflügeltes Pferd
25FF241|Einhorn
25FF2411|Einhorn, das von einer Jungfrau eingefangen wird; Chasse à la licorne
25FF2412|Pirassoipi (Einhorn mit zwei Hörnern)
25FF2413|oryx unicornis (klumpfüßige Antilope)
25FF242|Hippogryph (Pferd/Adler)
25FF243|Antalops (Fabel-Ren)
25FF244|Leucrota
25FF245|Parandrus (Hirsch/Bär)
25FF246|Eale
25FF2461|Centicora
25FF25|Fabeltiere: Rüsseltiere
25FF25(...)|Rüsseltiere (mit NAMEN) - FF - Fabeltiere
25FF25(ELEPHANT)|Rüsseltiere: Elefant - FF - Fabeltiere
25FF26|Fabeltiere: Nagetiere
25FF26(...)|Nagetiere (mit NAMEN) - FF - Fabeltiere
25FF26(BEAVER)|Nagetiere: Biber - FF - Fabeltiere
25FF26(HARE)|Nagetiere: Hase - FF - Fabeltiere
25FF26(MOUSE)|Nagetiere: Maus - FF - Fabeltiere
25FF26(MUSK-RAT)|Nagetiere: Bisamratte - FF - Fabeltiere
25FF26(RABBIT)|Nagetiere: Kaninchen - FF - Fabeltiere
25FF26(RAT)|Nagetiere: Ratte - FF - Fabeltiere
25FF26(SQUIRREL)|Nagetiere: Eichhörnchen - FF - Fabeltiere
25FF26(WOMBAT)|Nagetiere: Wombat - FF - Fabeltiere
25FF27|Fabeltiere: Meeressäuger
25FF27(...)|Meeressäuger (mit NAMEN) - FF - Fabeltiere
25FF27(DOLPHIN)|Meeressäuger: Delphin - FF - Fabeltiere
25FF27(SEAL)|Meeressäuger: Robbe - FF - Fabeltiere
25FF27(WHALE)|Meeressäuger: Wal - FF - Fabeltiere
25FF28|Fabeltiere: Flugsäugetiere
25FF28(...)|Flugsäugetiere (mit NAMEN) - FF - Fabeltiere
25FF28(BAT)|Flugsäugetiere: Fledermaus - FF - Fabeltiere
25FF29|Fabeltiere: andere (weiter oben nicht erwähnte) Säugetiere
25FF29(...)|Fabeltiere: andere (weiter oben nicht erwähnte) Säugetiere (mit NAMEN)
25FF29(ARMADILLO)|andere Säugetiere: Gürteltier - FF - Fabeltiere
25FF29(HEDGEHOG)|(andere) Säugetiere: Igel - FF - Fabeltiere
25FF29(LERTIX)|andere Säugetiere als Fabeltiere: Lertix
25FF29(MOLE)|(andere) Säugetiere: Maulwurf - FF - Fabeltiere
25FF29(PORCUPINE)|(andere) Säugetiere: Stachelschwein - FF - Fabeltiere
25FF3|Fabeltiere: Vögel
25FF3(...)|Vögel als Fabeltiere (mit NAMEN)
25FF3(AVALERION)|Vögel als Fabeltiere: Avalerion
25FF3(CARABAS)|Vögel als Fabeltiere: Carabas
25FF3(CARISTA)|Vögel als Fabeltiere: Carista
25FF3(FIRE-BIRD)|Vögel als Fabeltiere: Feuervogel
25FF3(HARPY)|Vögel als Fabeltiere: Harpyie
25FF3(HERCYNIAN BIRD)|Vögel als Fabeltiere: Herzynischer Vogel
25FF3(PHOENIX)|Vögel als Fabeltiere: Phoenix
25FF3(PORPHYRION)|Vögel als Fabeltiere: Porphyrion
25FF3(ROC)|Vögel als Fabeltiere: Ro(c)k, Roch
25FF3(SELEUCIDIAN BIRD)|Vögel als Fabeltiere: Seleukidischer Vogel
25FF3(STELLINUS)|Vögel als Fabeltiere: Stellinus
25FF3(TRAGOPA)|Vögel als Fabeltiere: Tragopa
25FF31|Fabeltiere: zahme Vögel
25FF311|Basilisk (Hahn/Schlange)
25FF312|Cockatrice, ein zweibeiniger geflügelter Drache mit Hahnenkopf
25FF32|Fabeltiere: Singvögel
25FF32(...)|Singvögel (mit NAMEN) - FF - Fabeltiere
25FF32(BLACKBIRD)|Singvögel: Amsel - FF - Fabeltiere
25FF32(CROW)|Singvögel: Krähe - FF - Fabeltiere
25FF32(FINCH)|Singvogel: Fink - FF - Fabeltiere
25FF32(GOLDFINCH)|Singvögel: Stieglitz - FF - Fabeltiere
25FF32(JACKDAW)|Singvögel: Dohle - FF - Fabeltiere
25FF32(LARK)|Singvögel: Lerche - FF - Fabeltiere
25FF32(MAGPIE)|Singvögel: Elster - FF - Fabeltiere
25FF32(NIGHTINGALE)|Singvögel: Nachtigall - FF - Fabeltiere
25FF32(RAVEN)|Singvögel: Rabe - FF - Fabeltiere
25FF32(ROBIN)|Singvogel: Rotkehlchen - FF - Fabeltiere
25FF32(SPARROW)|Singvögel: Sperling - FF - Fabeltiere
25FF32(STARLING)|Singvögel: Star - FF - Fabeltiere
25FF32(SWALLOW)|Singvögel: Schwalbe - FF - Fabeltiere
25FF32(THRUSH)|Singvögel: Drossel - FF - Fabeltiere
25FF32(WAGTAIL)|Singvögel: Bachstelze - FF - Fabeltiere
25FF32(WARBLER)|Singvögel: Sänger - FF - Fabeltiere
25FF32(WHITE THROAT)|Singvögel: Ammerfink - FF - Fabeltiere
25FF32(WREN)|Singvögel: Zaunkönig - FF - Fabeltiere
25FF33|Fabeltiere: Greifvögel
25FF33(...)|Greifvögel (mit NAMEN) - FF - Fabeltiere
25FF33(EAGLE)|Greifvögel: Adler - FF - Fabeltiere
25FF33(FALCON)|Greifvögel: Falke - FF - Fabeltiere
25FF33(FISH-HAWK)|Greifvögel: Fischadler - FF - Fabeltiere
25FF33(HAWK)|Greifvögel: Habicht - FF - Fabeltiere
25FF33(KITE)|Greifvögel: Roter Milan - FF - Fabeltiere
25FF33(SPARROW-HAWK)|Greifvögel: Sperber - FF - Fabeltiere
25FF33(VULTURE)|Greifvögel: Geier - FF - Fabeltiere
25FF331|Vulpanser
25FF332|zweiköpfiger Adler
25FF34|Eulen als Fabeltiere
25FF35|Ziervögel als Fabeltiere
25FF35(...)|Ziervögel (mit NAMEN) - FF - Fabeltiere
25FF35(BIRD OF PARADISE)|Ziervögel: Paradiesvogel - FF - Fabeltiere
25FF35(HORNBILL)|Ziervögel: Hornvogel - FF - Fabeltiere
25FF35(PARROT)|Ziervögel: Papagei - FF - Fabeltiere
25FF35(PEACOCK)|Ziervögel: Pfau - FF - Fabeltiere
25FF36|Wasservögel als Fabeltiere
25FF36(...)|Wasservögel (mit NAMEN) - FF - Fabeltiere
25FF36(COOT)|Wasservögel: Wasserhuhn - FF - Fabeltiere
25FF36(DIPPER)|Wasservögel: Wasseramsel - FF - Fabeltiere
25FF36(DUCK)|Wasservögel: Ente - FF - Fabeltiere
25FF36(GOOSE)|Wasservögel: Gans - FF - Fabeltiere
25FF36(PELICAN)|Wasservögel: Pelikan - FF - Fabeltiere
25FF36(SWAMP-HEN)|Wasservögel (mit NAMEN) - FF - Fabeltiere
25FF36(SWAN)|Wasservögel: Schwan - FF - Fabeltiere
25FF37|Schnepfen- und Watvögel als Fabeltiere
25FF37(...)|Schnepfen- und Watvögel (mit NAMEN) - FF - Fabeltiere
25FF37(BITTERN)|Schnepfen- und Watvögel: Rohrdommel - FF - Fabeltiere
25FF37(CRANE)|Schnepfen- und Watvögel: Kranich - FF - Fabeltiere
25FF37(GULL)|Schnepfen- und Watvögel: Möwe - FF - Fabeltiere
25FF37(HERON)|Schnepfen- und Watvögel: Reiher - FF - Fabeltiere
25FF37(IBIS)|Schnepfen- und Watvögel: Ibis - FF - Fabeltiere
25FF37(LAPWING)|Schnepfen- und Watvögel: Kiebitz - FF - Fabeltiere
25FF37(MARABOU)|Schnepfen- und Watvögel: Marabu - FF - Fabeltiere
25FF37(PLOVER)|Schnepfen- und Watvögel: Regenpfeifer - FF - Fabeltiere
25FF37(PURPLE WATER-HEN)|shore-birds and wading-birds (with NAME) - FF - Fabeltiere
25FF37(SNIPE)|Schnepfen- und Watvögel: Sumpfschnepfe - FF - Fabeltiere
25FF37(STORK)|Schnepfen- und Watvögel: Storch - FF - Fabeltiere
25FF37(TROCHILUS)|Schnepfen- und Watvögel: Grasmücke - FF - Fabeltiere
25FF37(WOODCOCK)|Schnepfen- und Watvögel: Waldschnepfe - FF - Fabeltiere
25FF371|Vögel als Fabeltiere: Caladrius, Charadrius
25FF38|Laufvögel als Fabeltiere
25FF38(...)|Laufvögel (mit NAMEN) - FF - Fabeltiere
25FF38(BUSTARD)|Laufvögel: Trappe - FF - Fabeltiere
25FF38(OSTRICH)|Laufvögel: Strauß - FF - Fabeltiere
25FF38(PARTRIDGE)|Laufvögel: Rebhuhn - FF - Fabeltiere
25FF38(PHEASANT)|Laufvögel: Fasan - FF - Fabeltiere
25FF38(QUAIL)|Laufvögel: Wachtel - FF - Fabeltiere
25FF38(TURKEY)|Laufvögel: Truthahn - FF - Fabeltiere
25FF39|andere (weiter oben nicht erwähnte) Vögel als Fabeltiere
25FF39(...)|andere Vögel (mit NAMEN) - FF - Fabeltiere
25FF39(CUCKOO)|andere Vögel: Kukuck - FF - Fabeltiere
25FF39(DODO)|andere Vögel: Dodo - FF - Fabeltiere
25FF39(DOVE)|andere Vögel: Taube - FF - Fabeltiere
25FF39(HOOPOE)|andere Vögel: Wiedehopf - FF - Fabeltiere
25FF39(HUMMING-BIRD)|andere Vögel: Kolibri - FF - Fabeltiere
25FF39(KINGFISHER)|andere Vögel: Eisvogel - FF - Fabeltiere
25FF39(TURTLE DOVE)|andere Vögel: Turteltaube - FF - Fabeltiere
25FF39(WOODPECKER)|andere Vögel: Specht - FF - Fabeltiere
25FF39(WRYNECK)|andere Vögel: Wendehals - FF - Fabeltiere
25FF4|Reptilien als Fabeltiere
25FF41|Eidechsen als Fabeltiere
25FF41(...)|Eidechsen (mit NAMEN) - FF - Fabeltiere
25FF41(CHAMELEON)|Eidechsen: Chamäleon - FF - Fabeltiere
25FF41(LIZARD)|Eidechsen: Berg-, Waldeidechse - FF - Fabeltiere
25FF411|Drache
25FF412|Salamander als Fabeltier; Salamander als Feuergeist
25FF42|Schlangen als Fabeltiere (Viper, Drache, Hydrus, Hydra, Amphisbaena, gehörnte Schlange, Hornviper)
25FF42(...)|Schlangen (mit NAMEN) - FF - Fabeltiere
25FF42(VIPER)|Schlangen: Viper - FF - Fabeltiere
25FF421|Viper
25FF422|Drache (lange Schlange als Fabeltier; manchmal mit Flügeln und Beinen)
25FF423|Hydrus (Wasserschlange)
25FF4231|Hydra; Ripa: Hidra
25FF424|Amphisbaena (Schlange mit je einem Kopf an beiden Enden)
25FF425|gehörnte Schlange
25FF4251|Hornviper
25FF43|Krokodile als Fabeltiere
25FF43(...)|Krokodile (mit NAMEN) - FF - Fabeltiere
25FF43(ALLIGATOR)|Krokodile: Alligator - FF - Fabeltiere
25FF43(CROCODILE)|Krokodile: Nilkrokodil - FF - Fabeltiere
25FF44|Schildkröten als Fabeltiere
25FF5|Amphibien als Fabeltiere
25FF51|schwanzlose Amphibien als Fabeltiere
25FF51(...)|schwanzlose Amphibien (mit Namen) - FF - Fabeltiere
25FF51(FROG)|Amphibien: Frosch - FF - Fabeltiere
25FF51(TOAD)|schwanzlose Amphibien: Kröte - FF - Fabeltiere
25FF52|Amphibien mit Schwanz als Fabeltiere
25FF52(...)|Amphibien mit Schwanz (mit NAMEN) - FF - Fabeltiere
25FF6|Fische als Fabeltiere
25FF61|Fische als Fabeltiere: Leviathan
25FF61(...)|Knorpelfische (mit NAMEN) - FF - Fabeltiere
25FF61(DOGFISH)|Knorpelfische: kleiner Hai - FF - Fabeltiere
25FF61(RAY)|Knorpelfische: Rochen - FF - Fabeltiere
25FF61(SAWFISH)|Knorpelfische: Sägefisch - FF - Fabeltiere
25FF61(SHARK)|Knorpelfische: Hai - FF - Fabeltiere
25FF62|Hippocampus (Pferd/Fisch) (hybrides mythologisches Monster)
25FF62(...)|Knochenfische (mit NAMEN) - FF - Fabeltiere
25FF62(BARBEL)|Knochenfische: Barbe - FF - Fabeltiere
25FF62(BUTTERFISH)|Knochenfische: Butterfisch - FF - Fabeltiere
25FF62(CARP)|Knochenfische: Karpfen - FF - Fabeltiere
25FF62(HERRING)|Knochenfische: Hering - FF - Fabeltiere
25FF62(HIPPOCAMPUS)|Knochenfische: Hippokampus - FF - Fabeltiere
25FF62(LUNGFISH)|Knochenfische: Lungenfisch - FF - Fabeltiere
25FF62(MACKEREL)|Knochenfische: Makrele - FF - Fabeltiere
25FF62(MULLET)|Knochenfische: Meeräsche - FF - Fabeltiere
25FF62(PIKE)|Knochenfische: Hecht - FF - Fabeltiere
25FF62(PILOT-FISH)|Knochenfische: Lotsenfisch - FF - Fabeltiere
25FF62(RED HERRING)|Räucherhering: 41 C 68 (RED HERRING) oder 25 F 62 (HERRING) verwenden - FF - Fabeltiere
25FF62(ROACH)|Knochenfische: Plötze, Rotauge - FF - Fabeltiere
25FF62(SALMON)|Knochenfische: Lachs - FF - Fabeltiere
25FF62(SARDINE)|Knochenfische: Sardine - FF - Fabeltiere
25FF62(SCARUS)|Knochenfische: Seepapageifisch - FF - Fabeltiere
25FF62(SEA-BREAM)|Knochenfische: Meerbrasse - FF - Fabeltiere
25FF62(SEA-DEVIL)|Knochenfische: Seeteufel - FF - Fabeltiere
25FF62(SEA-PERCH)|Knochenfische: Seebarsch - FF - Fabeltiere
25FF62(SEA-WOLF)|Knochenfische: Seewolf - FF - Fabeltiere
25FF62(SHEAT-FISH)|Knochenfische: Wels - FF - Fabeltiere
25FF62(STURGEON)|Knochenfische: Stör - FF - Fabeltiere
25FF62(SUN-FISH)|Knochenfische: Sonnenfisch - FF - Fabeltiere
25FF62(SWORD-FISH)|Knochenfische: Schwertfisch - FF - Fabeltiere
25FF62(TUNNY)|Knochenfische: Thunfisch - FF - Fabeltiere
25FF62(WEEVER)|Knochenfische: Drachenfisch - FF - Fabeltiere
25FF63|Pistrix, Meeresdrache
25FF63(...)|Aale (mit NAMEN) - FF - Fabeltiere
25FF63(EEL)|Aale: Flußaal - FF - Fabeltiere
25FF63(LAMPREY)|Aale: Neunauge - FF - Fabeltiere
25FF63(SEA-EEL)|Aale: Meeraal - FF - Fabeltiere
25FF64|Fische als Fabeltiere: Remora (Echeneis Remora)
25FF64(...)|Tiefseefische (mit NAMEN) - FF - Fabeltiere
25FF65|Serra (Fisch mit überdimensionalen Flossen)
25FF65(...)|andere Fische (mit NAMEN) - FF - Fabeltiere
25FF7|niedere Tiere als Fabeltiere
25FF71|Gliederfüßer (Pyrausta) als Fabeltiere
25FF711|Pyrausta
25FF711(...)|Insekten (mit NAMEN) - FF - Fabeltiere
25FF711(ANT)|Insekten: Ameise - FF - Fabeltiere
25FF711(BEE)|Insekten: Biene - FF - Fabeltiere
25FF711(BEETLE)|Insekten: Käfer - FF - Fabeltiere
25FF711(BUTTERFLY)|Insekten: Schmetterling - FF - Fabeltiere
25FF711(CATERPILLAR)|Insekten: Raupe - FF - Fabeltiere
25FF711(CICADA)|Insekten: Zikade - FF - Fabeltiere
25FF711(CRICKET)|Insekten: Grille - FF - Fabeltiere
25FF711(DAY-FLY)|Insekten: Eintagsfliege - FF - Fabeltiere
25FF711(DUNG-BEETLE)|Insekten: Mistkäfer - FF - Fabeltiere
25FF711(FLY)|Insekten: Fliege - FF - Fabeltiere
25FF711(GLOW-WORM)|Insekten: Glühwürmchen - FF - Fabeltiere
25FF711(GNAT)|Insekten: Mücke - FF - Fabeltiere
25FF711(GRASS-HOPPER)|Insekten: Heuschrecke - FF - Fabeltiere
25FF711(ICHNEUMON-FLY)|Insekten: Schlupfwespe - FF - Fabeltiere
25FF711(LADYBIRD)|Insekten: Marienkäfer - FF - Fabeltiere
25FF711(MANTIS)|Insekten: Fangheuschrecke - FF - Fabeltiere
25FF711(MOTH)|Insekten: Motte - FF - Fabeltiere
25FF711(PRAYING-MANTIS)|Insekten: Gottesanbeterin - FF - Fabeltiere
25FF711(SCARABAEUS)|Insekten: Skarabäus - FF - Fabeltiere
25FF711(WASP)|Insekt: Wespe - FF - Fabeltiere
25FF712|Hundertfüßler, Tausendfüßler - FF - Fabeltiere
25FF713|Spinnen - FF - Fabeltiere
25FF714|Milben - FF - Fabeltiere
25FF715|Skorpione - FF - Fabeltiere
25FF716|Krustentiere - FF - Fabeltiere
25FF716(...)|Krustentiere (mit NAMEN) - FF - Fabeltiere
25FF716(CRAB)|Krustentiere: Krabbe - FF - Fabeltiere
25FF716(LOBSTER)|Krustentiere: Hummer - FF - Fabeltiere
25FF72|Mollusken als Fabeltiere
25FF72(...)|Mollusken als Fabeltiere (mit NAMEN)
25FF72(CUTTLE-FISH)|Mollusken: Tintenfisch - FF - Fabeltiere
25FF72(KRAKEN)|Mollusken als Fabeltiere: Krake
