4|Gesellschaft, Zivilisation, Kultur
41A63|Gartenanlage
41A631|Rasen
41A632|Blumenbeet
41A633|Steingarten
41A634|Gartenlabyrinth
41A635|umfriedeter oder eingezäunter Garten; Hortus Conclusus
41A6351|Dachgarten
41A636|Französischer Garten, Barockgarten, geometrischer Garten
41A637|Englischer Garten oder Landschaftsgarten
41A638|Gartenweg, Fahrstraße in einem Garten
41A64|Dekoration, Schmuck eines Gartens
41A641|Statuen, Skulpturen in einem Garten
41A6411|Zwergenskulpturen, Grylloi (Gartenschmuck)
41A642|Obelisken (Gartenschmuck)
41A643|Pyramiden (Gartenschmuck)
41A644|Hermen (Gartenschmuck)
41A645|künstliche Ruinen (Gartenschmuck)
41A646|Gartenvase
41A65|Wasserkünste in einem Garten
41A651|Springbrunnen in einem Garten
41A652|Gartenteich
41A653|Kaskade, Wasserfall in einem Garten
41A66|künstliche Grotte in einem Garten
41A67|Zierpflanzen
41A671|Stilleben mit Pflanzen, Blumen und Früchten
41A6711|Blumen in einer Vase
41A6712|Blumenarrangement
41A672|die Kunst des Bäumeschneidens (Sträucher und Bäume werden ornamental gestaltet); Bonsai; Spalierbäume; etc.
41A673|Topfpflanzen
41A68|Pflege eines (Zier-)Gartens
41A681|Gartenarbeit
41A6811|Pflanzen bewässern, Pflanzen gießen
41A682|Gartengeräte
41A682(...)|Gartengeräte (mit NAMEN)
41A7|Möbel und Hausrat
41A71|Möbel, auf die Gegenstände gestellt oder gelegt werden
41A711|Tisch
41A7111|Dreifuß
41A7112|Tisch mit drei Beinen
41A712|Regalbretter, Borde, Fächerregal, Regalschrank, Serviertisch, Büffet
41A7121|Etagere
41A7122|Bücherregale
41A71221|Bücherschrank, mit Türen
41A713|Gedeck
41A72|Sitzmöbel
41A721|Stuhl
41A7211|Hocker
41A72111|Schemel, Fußbank
41A7212|Lehnstuhl, Sessel
41A7213|Schaukelstuhl
41A722|Couch, Sofa, Polsterbank
41A7221|(Sitz-)Kissen, Polster
41A723|(Sitz-)Bank
41A73|Möbel für die Aufbewahrung von Gegenständen
