4|Gesellschaft, Zivilisation, Kultur
42F19|Betty, Molly (abfällig: ein Mann, der Hausarbeit verrichtet)
42F2|einkaufen (für den Haushalt)
42F3|Hausarbeit verrichten
42F31|(das Haus) putzen
42F311|abstauben
42F312|polieren (das Haus putzen)
42F313|die Fenster putzen
42F314|kehren, fegen
42F32|Haushaltsgeräte und -werkzeuge
42F32(...)|Haushaltsgeräte und -werkzeuge (mit NAMEN)
42F33|Betten machen
42F34|den Tisch decken
42F341|bei Tisch bedienen
42F342|den Tisch abdecken oder abräumen
42F35|Pflege der Nebengebäude und des Grundstücks
42F4|Instandhaltung und Reparatur der Wohnräume
42F49|vernachlässigte Wohnräume
42F5|Hauspersonal, Diener(innen)
42F51|Dienstmädchen, Magd
42F52|Putzfrau
42F53|Diener, Lakai
42F54|Butler
42F55|Türsteher, Pförtner
42F56|Hausmeister
42F6|kleine Haushaltsunfälle
42F61|etwas zerbrechen (Haushaltsunfälle)
42F9|schlecht geführter Haushalt
42F91|der völlig verwüstete Haushalt (niederländisch: huishouden van Jan Steen)
42F92|die schlampige Hausfrau; Vrou(w) Lor(t)s
42G|Familie, Verwandtschaft, Abstammung
42G1|Ahnenreihe, Stammbaum, genealogischer Baum oder Ahnentafel
42G11|Serien von Ahnenporträts; Ahnengalerie
42G2|Familienverwandtschaften (ersten, zweiten, dritten und vierten Grades); Generationen
42G21|Familienverwandtschaften ersten Grades
42G211|Eltern (Familienverwandtschaften ersten Grades)
42G2111|Vater (Familienverwandtschaften ersten Grades)
42G2112|Mutter (Familienverwandtschaften ersten Grades)
42G212|Kinder (Familienverwandtschaften ersten Grades)
42G2121|Sohn (Familienverwandtschaften ersten Grades)
42G2122|Tocher (Familienverwandtschaften ersten Grades)
42G22|Familienverwandtschaften zweiten Grades
42G221|Großeltern (Familienverwandtschaften zweiten Grades)
42G222|Brüder oder Schwestern (Familienverwandtschaften zweiten Grades)
42G2221|Brüder (Familienverwandtschaften zweiten Grades)
42G2222|Schwestern (Familienverwandtschaften zweiten Grades)
42G223|Enkel (Familienverwandtschaften zweiten Grades)
42G23|Familienverwandtschaften dritten Grades
42G231|Urgroßeltern (Familienverwandtschaften dritten Grades)
42G232|Onkeln, Tanten (Familienverwandtschaften dritten Grades)
42G233|Neffen, Nichten (Familienverwandtschaften dritten Grades)
42G2331|Neffen
42G2332|Nichten
42G234|Cousins, Cousinen (Familienverwandtschaften dritten Grades)
42G235|Urenkel (Familienverwandtschaften dritten Grades)
42G24|Familienverwandtschaften vierten Grades
42G241|Ur-Urgroßeltern (Familienverwandtschaften vierten Grades)
42G242|Großonkel, Großtanten (Familienverwandtschaften vierten Grades)
42G243|Großneffen, Großnichten (Familienverwandtschaften vierten Grades)
42G244|Cousins bzw. Cousinen zweiten Grades (Familienverwandtschaften vierten Grades)
42G245|Ur-Urgroßenkel (Familienverwandtschaften vierten Grades)
42G29|Inzest, Blutschande
42Z|exotische und nicht-monogame familiäre Lebensformen
42Z1|Polygamie
42Z11|Harem
42Z111|Odaliske
42Z112|türkisches Bad
42Z113|Eunuch
42Z2|Polyandrie
42Z3|Gruppenehe
42Z31|sogenannte Weibergemeinschaft
42Z32|Familienehe (Punalua)
43|Erholung, Entspannung; Unterhaltung, Amusement
43A|Festlichkeiten
43A1|periodische Feierlichkeiten, Volksfeste
43A11|Kalenderfeste, nicht-liturgisches Feiern von Festtagen des Kirchenjahres
43A12|nicht-liturgisches Feiern von Weihnachten, Karneval und Ostern
43A121|Weihnachten (nicht-liturgisches Feiern)
43A1211|Weihnachtsbaum
43A1212|Weihnachtsschmuck
43A1213|Weihnachtsmann, Nikolaus, Weihnachtselfe
43A1214|Weihnachtskarte
43A122|Karneval, Fastnacht (nicht-liturgisches Feiern)
43A1221|Narrenschiff
43A1222|Fastnachtsdonnerstag, Altweiberfastnacht
43A1223|Quinquagesima
43A1224|Fastnachtsdienstag (nicht-liturgisches Feiern)
43A123|Ostern (nicht-liturgisches Feiern)
43A1231|Osterei
43A12311|Schmuckstück in Form eines Ostereis
43A1232|Preisochse
43A12321|den Preisochsen vorführen
43A1233|Osterhase
43A13|Festlichkeiten mit Bezug auf die Jahreszeiten
43A131|Festlichkeiten im und um den Frühling
43A1311|Tanz um den Maibaum
43A13111|Maibaum
43A132|Erntedankfest
43A14|Festlichkeiten an bestimmten Kalenderdaten, Gedenktage
43A141|Neujahr
43A1411|Silvester(abend)
43A142|1. April
43A143|1. Mai
43A144|Dreikönigsabend (6.Januar)
43A145|Heiligenfesttage (nicht-liturgisch)
43A1451|Nikolausabend (5. Dezember)
43A1452|Halloween, Abend vor Allerheiligen (31. Oktober)
43A1453|Martinstag (11. November)
43A1454|St. Patrick's Day (17. März)
43A146|andere Festlichkeiten an bestimmten Kalendertagen, andere Gedenktage
43A146(...)|andere Festlichkeiten an bestimmten Kalendertagen, andere Gedenktage (mit DATUM)
43A2|private Festlichkeiten; fröhliche Gesellschaft
43A21|Empfang, Cocktailparty
43A22|Gedenken, Jubiläum
43A23|Ball, Gesellschaftstanz
43A3|Jahrmarkt und Zirkus
43A31|Karussell; Kettenkarussell
43A311|Riesenrad
43A32|Amusement mit Fahrzeugen etc. (Jahrmarkt)
43A321|Achterbahn
43A322|Autoscooter
43A323|Berg- und Talbahn, Landschaftsbahn
43A33|Geschicklichkeits- und Kraftproben (Jahrmarkt)
43A331|Schießstand, Schießbude (Jahrmarkt)
43A332|Maschine zur Kraftmessung, Hau-den-Lukas etc. (Jahrmarkt)
43A34|(sonstige) Arten des Amusements
43A341|(Zerr-)Spiegelkabinett
43A342|Diorama
43A343|Panorama, Rundgemälde
43A344|Peepshow
43A345|Lotteriestand (Jahrmarkt)
43A346|Monstrositätenschau
43A3461|Monstrositätenschau: menschliche Monstrositäten
43A3462|Monstrositätenschau: tierische Monstrositäten
43A3463|Monstrositätenschau: merkwürdige Gegenstände (Pflanzen, Steine etc.)
43A35|Veranstaltung im Freien (Jahrmarkt)
43A351|Veranstaltung in einem Zelt (Jahrmarkt)
43A352|das Publikum zusammentrommeln
43A36|Zirkus
43A361|Zirkuszelt (-ußeres)
43A362|Eingang zum Zirkuszelt
43A363|Zirkuszelt (Inneres)
43A3631|Zirkusarena
43A37|die Zirkusvorstellung; die Mitwirkenden einer Zirkusvorstellung
43A371|Zirkusdirektor
43A3711|Zirkusdirektor in der Arena
43A372|Akrobat im Zirkus
43A3721|Drahtseilartist
43A3722|Trapezkünstler
43A3723|Seiltänzer
43A3724|Messerwerfer
43A3725|Meisterschütze
43A3726|Schlangenmensch
43A3727|Entfesselungskünstler
43A3728|Feuerschlucker
43A373|Clown
43A3731|Dummkopf, Hanswurst
43A374|Zirkusvorstellung mit geschulten Tieren (Affen, Elefanten, Bären, Löwen und Tiger, Pferde, Hunde, Delphine, Robben, Flöhe)
43A3741|Affen (bei einer Zirkusvorstellung)
43A3742|Elefanten (bei einer Zirkusvorstellung)
43A3743|Bären (bei einer Zirkusvorstellung)
43A3744|Löwen und Tiger (bei einer Zirkusvorstellung)
43A3745|Pferde (bei einer Zirkusvorstellung)
43A3746|Hunde (bei einer Zirkusvorstellung)
43A3747|Delphine (bei einer Zirkusvorstellung)
43A3748|Robben (bei einer Zirkusvorstellung)
43A3749|Flohzirkus
43A375|Zauberkünstler, Zauberer, Jongleur, Taschenspieler; Trickspielerei
43A3751|Bauchredner
43A376|Wahrsager(in) (auf einem Jahrmarkt)
43A38|Zirkus oder Jahrmarkt auf Tournee
43A381|die Zelte aufschlagen (Zirkus oder Jahrmarkt auf Tournee)
43A382|die Zelte abbrechen (Zirkus oder Jahrmarkt auf Tournee)
43A4|öffentliche Festlichkeiten
43A41|sich auf besondere Ereignisse freuen
43A411|Festlichkeiten bei Ereignissen von nationaler Bedeutung
43A412|öffentliche Festlichkeiten in einer Monarchie
43A4121|öffentliche Festlichkeiten bei einer königlichen Hochzeit
43A4122|öffentliche Festlichkeiten bei der Geburt eines Mitglieds der Königsfamilie
43A4123|andere (oben nicht erwähnte) öffentliche Festlichkeiten in einer Monarchie
43A42|triumphaler Einzug und Empfang durch Publikum, Festzug; entrée solennelle, joyeuse entrée
43A421|Triumphwagen
43A4211|römischer Triumphwagen, Quadriga
43A4212|Festwagen, Plattformwagen
43A422|Triumphbogen
43A423|andere Dekorationen, schmückende Aufbauten (bei Triumphzügen etc.)
43A424|Geld unter das Volk streuen (bei Triumphzügen etc.)
43A4241|Münzen, die speziell für einen festlichen Anlaß (Triumphzug etc.) geprägt werden (niederländisch: strooipenningen)
43A425|Dekoration und Illumination von Straßen, zentralen Plätzen (bei Triumphzügen etc.)
43A426|Konfetti, Papierstreifen etc. (bei Triumphzügen etc.)
43A43|Triumph (allegorisch und symbolisch)
43A431|Petrarca: Trionfi
43A4311|Ripa: Trionfi d'Amore, Triumphus Cupidinis; Carro d'amore
43A4312|Ripa: Trionfo della Castità, Triumphus Pudicitiae; Carro della castità
43A4313|Ripa: Trionfo della Morte, Triumphus Mortis; Carro della morte
43A4314|Ripa: Trionfo della Fama, Triumphus Famae; Carro della Fama
43A4315|Ripa: Trionfo del Tempo, Triumphus Temporis; Carro del Tempo
43A4316|Ripa: Trionfo della Divinità, Triumphus Aeternitatis; Carro della Divinità
43A432|symbolischer Triumph individueller Personen
43A4321|Apotheose (oder Himmelfahrt) individueller Personen
43A433|Krönung mit einem Lorbeerkranz
43A44|Freudenfeuer, Feuerwerk
43A45|öffentliche Schande, Verspottung
43A46|Aktivitäten in der Luft, am Himmel bei öffentlichen Festlichkeiten, z.B. Luftparade
43A49|öffentliche(s) Trauerfeier, Begräbnis
43A491|Katafalk; castrum doloris (öffentliche Trauerfeier)
43AA2|private Festlichkeiten; fröhliche Gesellschaft - AA - im Freien; fête champêtre
43AA21|Empfang, Cocktailparty - AA - im Freien; fête champêtre
43AA22|Gedenken, Jubiläum - AA - im Freien; fête champêtre
43AA23|Ball, Gesellschaftstanz - AA - im Freien; fête champêtre
43AA376|Wahrsager(in) (auf einem Jahrmarkt) - AA - Wahrsagerin
43AA4|öffentliche Festlichkeiten - AA - Festlichkeiten auf dem Wasser
43AA41|sich auf besondere Ereignisse freuen - AA - Festlichkeiten auf dem Wasser
43AA411|Festlichkeiten bei Ereignissen von nationaler Bedeutung - AA - Festlichkeiten auf dem Wasser
43AA412|öffentliche Festlichkeiten in einer Monarchie - AA - Festlichkeiten auf dem Wasser
43AA4121|öffentliche Festlichkeiten bei einer königlichen Hochzeit - AA - Festlichkeiten auf dem Wasser
43AA4122|öffentliche Festlichkeiten bei der Geburt eines Mitglieds der Königsfamilie - AA - Festlichkeiten auf dem Wasser
43AA4123|andere (oben nicht erwähnte) öffentliche Festlichkeiten in einer Monarchie - AA - Festlichkeiten auf dem Wasser
43AA42|triumphaler Einzug und Empfang durch Publikum, Festzug; entrée solennelle, joyeuse entrée - AA - Festlichkeiten auf dem Wasser
43AA422|Triumphbogen - AA - Festlichkeiten auf dem Wasser
43AA423|andere Dekorationen, schmückende Aufbauten (bei Triumphzügen etc.) - AA - Festlichkeiten auf dem Wasser
43AA424|Geld unter das Volk streuen (bei Triumphzügen etc.) - AA - Festlichkeiten auf dem Wasser
43AA425|Dekoration und Illumination von Straßen, zentralen Plätzen (bei Triumphzügen etc.) - AA - Festlichkeiten auf dem Wasser
43AA426|Konfetti, Papierstreifen etc. (bei Triumphzügen etc.) - AA - Festlichkeiten auf dem Wasser
43AA43|Triumph (allegorisch und symbolisch) - AA - auf dem Wasser; triomphe marin
43AA431|Petrarca: Trionfi - AA - auf dem Wasser; triomphe marin
43AA4311|Ripa: Trionfi d'Amore, Triumphus Cupidinis; Carro d'amore - AA - auf dem Wasser; triomphe marin
43AA4312|Ripa: Trionfo della Castità, Triumphus Pudicitiae; Carro della castità - AA - auf dem Wasser; triomphe marin
43AA4313|Ripa: Trionfo della Morte, Triumphus Mortis; Carro della morte - AA - auf dem Wasser; triomphe marin
43AA4314|Ripa: Trionfo della Fama, Triumphus Famae; Carro della Fama - AA - auf dem Wasser; triomphe marin
43AA4315|Ripa: Trionfo del Tempo, Triumphus Temporis; Carro del Tempo - AA - auf dem Wasser; triomphe marin
43AA4316|Ripa: Trionfo della Divinità, Triumphus Aeternitatis; Carro della Divinità - AA - auf dem Wasser; triomphe marin
43AA432|symbolischer Triumph individueller Personen - AA - auf dem Wasser; triomphe marin
43AA4321|Apotheose (oder Himmelfahrt) individueller Personen - AA - auf dem Wasser; triomphe marin
43AA433|Krönung mit einem Lorbeerkranz - AA - auf dem Wasser; triomphe marin
43AA44|Freudenfeuer, Feuerwerk - AA - Festlichkeiten auf dem Wasser
43AA46|Aktivitäten in der Luft, am Himmel bei öffentlichen Festlichkeiten, z.B. Luftparade - AA - Festlichkeiten auf dem Wasser
43AA49|öffentliche(s) Trauerfeier, Begräbnis - AA - Festlichkeiten auf dem Wasser
43AA491|Katafalk; castrum doloris (öffentliche Trauerfeier) - AA - Festlichkeiten auf dem Wasser
43B|Erholung, Entspannung
43B1|sich an der Natur erfreuen
43B11|die Natur betrachten
43B12|Picknick; alfresco; déjeuner sur l'herbe
43B121|sich im Freien versammeln; délices à la campagne
43B13|laufen, wandern (als Erholung, Entspannung)
43B131|radfahren (als Erholung, Entspannung)
43B14|sich an der Natur erfreuen: Pflanzen, Kräuter und Blumen
43B141|botanisieren
43B142|Pilze sammeln
43B143|Kräuter pflücken
43B144|Blumen pflücken
43B15|sich an der Natur erfreuen: Tiere
43B151|Schmetterlingsjagd
43B16|Berge besteigen, Bergsteigen
43B17|Höhlen erforschen
43B2|Erholung im Freien
43B21|Vergnügungspark
43B3|Erholung, Entspannung im Haus
43B31|Gasthaus, Kaffeehaus, Kneipe etc.
43B311|Restaurant
43B312|Gartenrestaurant
43B313|Terrasse bzw. Tische und Stühle vor einem Gasthaus oder Restaurant, auf dem Bürgersteig
43B32|Club, Verein, fester Treffpunkt
43B33|Kasino
43B331|Spielhölle
43B34|Nachtclub, Tanzsaal
43B4|Wald und Park (als Orte der Erholung)
43B41|im Wald spielen
43B411|auf einen Baum klettern
43B412|von einem Baum fallen
43B42|Park
43B421|Musikpavillon
43B5|Strand (als Ort der Erholung)
43B51|in oder am Wasser (am Strand)
43B52|sonnenbaden (am Strand)
43B53|Sandburgen (bauen)
43B54|auf einem Esel reiten (am Strand)
43B55|Erholung, Entspannung in den Dünen
43B6|Spielplatz
43B61|Ausstattung eines Spielplatzes
43B61(...)|Ausstattung eines Spielplatzes (mit NAMEN)
43B611|Schaukel
43B612|Rutsche, Rutschbahn
43B613|Wippe, Wippschaukel
43B7|Zoo (als Ort der Erholung, Entspannung)
43B8|Sammlung, Ausstellung, Vorführung, Vorstellung
43C|Sport, Spiele und körperliche Freizeitbeschäftigungen
43C1|Sport und Spiele mit Tieren
43C11|Jagen; die Jagd
43C111|Wild, gejagte Tiere
43C1111|Gruppe verschiedener gejagter Tiere
43C1112|Jagd auf Säugetiere
43C11121|Gruppe verschiedener gejagter Säugetiere
43C11122|Jagd auf Affen
43C11123|Jagd auf Raubtiere (Fuchs, Löwe)
43C111231|Fuchsjagd
43C1112311|Fuchs und Hunde
43C111232|Löwenjagd
43C1112321|ein Jäger kämpft mit einem Löwen
43C11124|Jagd auf Huftiere
43C111241|Hirschjagd
43C111242|Jagd auf eine Hirschkuh
43C111243|Wildschweinjagd
43C11125|Jagd auf Rüsseltiere
43C11126|Jagd auf Nagetiere
43C111261|Hasenjagd, Kaninchenjagd
43C11127|Jagd auf Meeressäuger
43C11128|Jagd auf andere Säugetiere
43C1113|Vogeljagd
43C1114|Jagd auf andere Tiere
43C112|Jagdunfälle
43C1121|das gejagte Tier greift Menschen an
43C113|Jagdbeute, Wild(-bret)
43C1131|Tötung der Jagdbeute
43C11311|Jagdtrophäen
43C1132|der Jäger zeigt oder präsentiert die Jagdbeute
43C114|Jäger
43C1141|Versammlung der Jäger vor der Jagd; départ pour la chasse
43C1142|Jäger bei der Jagd
43C11421|Jäger bei der Rast
43C1143|Treiber (bei der Jagd)
43C1144|in das Jagdhorn blasen
43C1145|Halali (Jagdruf)
43C1146|Gruppenporträt von Jägern
43C1147|Jagdhunde
43C11471|Jagdhunde neben der Jagdbeute
43C1148|Ausrüstung von Jägern
43C11481|Jagdtasche
43C11482|Jagdhorn
43C1149|Rückkehr von der Jagd
43C11491|Jagdsitz, Jagdhütte, Jagdschloß; rendez-vous de chasse
43C115|Suche nach Wild
43C1151|Tierfang
43C1152|Tiere beobachten (bei der Jagd)
43C11521|Tiere photographieren, filmen
43C116|Jagdrevier
43C1161|Grenzpfosten eines Jagdreviers
43C1162|Hochstand, Hochsitz, Ansitz; Deckung oder Versteck, oft getarnt, zum unbemerkten Beobachten und Erlegen des Wildes
43C11621|Hochsitz, Ansitz auf erhöhter Plattform
43C116211|Baumsitz, Ansitz in einem Baum
43C11622|Erdsitz, Ansitz zu ebener Erde
43C117|Wildhüter
43C118|Wilderer
43C12|fischen (als Sport)
43C121|angeln
43C128|Fischer, Angler
43C1281|ein Fischer (oder Angler) zeigt seinen Fang
43C13|Vogelfang, Vogeljagd; Vogelfänger
43C131|Vogelfalle
43C132|Entenkoje
43C14|Tierquälerei
43C141|Tierquälerei einer Gruppe verschiedener Tiere
43C142|Tierquälerei von Säugetieren
43C1421|eine katze quälen; cat-in-a-barrel
43C1422|Stierkampf
43C14221|Stierkämpfer, Toreador
43C1423|Bärenhetze
43C143|Tierquälerei von Vögeln (Hahn, Gans)
43C1431|Hahnenkampf
43C1432|die Gans beim Schwanz packen
43C144|Tierquälerei von Reptilien
43C145|Tierquälerei von Amphibien
43C146|Tierquälerei von Fischen
43C1461|den Aal beim Schwanz fassen
43C2|Sport, Spiele und körperliche Freizeitbeschäftigungen: Schnelligkeit und Geschwindigkeit
43C21|Sport (auf dem Festland)
43C211|Wettrennen
43C2111|Hindernislauf, Hürdenlauf
43C2112|Querfeldeinlauf
43C2113|Laufwettbewerb
43C212|Reitwettbewerb, Wettreiten
43C2121|Pferderennen
43C21211|Jockey
43C21212|Rennstall
43C21213|Rennbahn
43C2122|Hindernisrennen
43C213|Rennen mit Fahrzeugen
43C2131|Wagenrennen (mit Pferden)
43C21311|Wagenlenker; auriga
43C21312|Wagenrennen mit zweirädrigen Fahrzeugen, z.B. Streitwagen, Sulky
43C21313|Wagenrennen mit vierrädrigen Fahrzeugen
43C2132|Radrennen
43C21321|Radrundfahrt, z.B. Tour de France, Giro d'Italia
43C2133|Motorradrennen
43C2134|Automobilrennen
43C214|Laufen (als Sport)
43C218|Tierrennen
43C2181|Hunderennen
43C2182|Taubenwettflug
43C22|Wassersport
43C221|Schwimmen (als Sport)
43C2211|Tauchen (als Sport)
43C22111|Tiefseetauchen
43C222|Wasserski fahren; Wellenreiten, Surfen
43C223|Rudern, Kanufahren etc. (als Sport)
43C224|Segeln (als Sport)
43C225|Motorbootrennen
43C23|Sport etc. in der Luft
43C231|Wettflüge
43C232|Segelfliegen (als Sport)
43C233|Ballonfliegen (als Sport)
43C234|Fallschirmspringen (als Sport)
43C24|Wintersport
43C241|Schlittenfahren (Wintersport)
43C242|Bobfahren
43C243|Rodelschlitten
43C244|Schlittschuhe
43C245|Skier (Wintersport)
43C2451|Slalom (Wintersport)
43C2452|Skispringen
43C2453|Skilift
43C246|Eissegeln
43C3|Leichtathletik, Gymnastik, Turnen
43C31|Hochsprung (Leichtathletik)
43C311|Stabhochspringen
43C312|Trampolinspringen
43C32|Weitsprung
43C321|Dreisprung
43C33|Speerwerfen
43C34|Kugelstoßen
43C35|Diskuswerfen
43C36|andere athletische Sportarten
43C361|Gewichtheben
43C37|Bodengymnastik
43C371|gymnastische Übungen mit Stöcken, Hanteln etc.
43C38|gymnastische Übungen mit und an Apparaten; Geräteturnen
43C381|Ringe (Gymnastik, Turnen)
43C382|Reck, Schwebebalken (Gymnastik, Turnen)
43C383|Sprungpferd (Gymnastik, Turnen)
43C384|Barren (Gymnastik, Turnen)
43C39|Kampfsport
43C391|Boxen (als Sport)
43C392|Ringen (als Sport)
43C393|Jiu-Jitsu, Judo etc.
43C394|Fechten (als Sport)
43C3941|Rapier (Fechten)
43C3942|Säbel (zum Fechten)
43C395|Tauziehen
43C396|(mittelalterliche) Kampfspiele
43C3961|Gladiatorenkampf
43C39611|Kampf zwischen Mann und Tier (mittelalterliches Kampfspiel)
43C39612|Kampf zwischen Tiere, z.B. Löwe und Bär
43C3962|pas d'armes (Wettkampf zwischen zwei Gruppen um einen Paß oder eine Brücke etc.)
43C3963|Turnier (mittelalterliches Kampfspiel)
43C39631|Tjost, Lanzenstechen (mittelalterliches Kampfspiel)
43C396311|Tjost, Lanzenstechen ohne Schranke (mittelalterliches Kampfspiel)
43C396312|Tjost, Lanzenstechen mit Schranke (mittelalterliches Kampfspiel)
43C3964|andere Formen von Turnieren, ritterlichen Wettkämpfen
43C39641|Buhurt, Bouhourt (mittelalterliches Kampfspiel)
43C39642|Quintanrennen
43C397|Sportwettbewerb, Sportturnier
43C3971|die neuzeitlichen Olympischen Spiele
43C3972|andere sportliche Turniere
43C4|Geschicklichkeitsspiele
43C41|Ballspiele
43C411|Fußball (frühere Namen: soule, choule, cholle)
43C4111|Rugby, Football
43C4112|American Football
43C412|Ballspiele, bei denen die Hände benutzt werden (Mannschaftssportart)
43C4121|Handball
43C4122|Basketball
43C4123|Volleyball
43C4124|Wasserball
43C413|Ballspiele, bei denen der Ball mit einem hölzernen Objekt geschlagen wird (Mannschaftssportart)
43C4131|Lacrosse
43C4132|Hockey
43C41321|Eishockey
43C4133|Polo (zu Pferd)
43C4134|Kricket
43C4135|Baseball
43C4136|Schlagball
43C414|Ballspiele, bei denen der Ball mit einem hölzernen Objekt geschlagen wird (Einzelsportart)
43C4141|Maille (Ballspiel)
43C4142|Golf
43C4143|Kolf (Ballspiel)
43C41431|Kolf auf dem Eis
43C4144|Krocket
43C4145|Billardspiel
43C415|Ballspiele, bei denen der Ball mit einem Schläger (oder der Hand) gespielt wird
43C4151|Tennis
43C4152|Tischtennis
43C4153|jeu de Paume
43C4154|jeu de volant; Badminton, Federball
43C4155|Fives (Wandball)
43C416|Ballspiele, bei denen der Ball oder die Kugel gerollt wird
43C4161|jeu de boules; Boule
43C4162|Bowling
43C4163|Ringball
43C4164|Kegeln
43C417|Ballwerfen
43C4171|Fangbecher, Bilboquet
43C418|Tivoli(spiel)
43C42|Scharfschießen (als Spiel, Sport)
43C421|Bogenschießen (als Spiel, Sport)
43C4211|den Vogel von der Stange schießen
43C4212|Meisterschuß
43C422|Scharfschießen mit einem Revolver oder einer anderen Handfeuerwaffe (als Spiel, Sport)
43C423|Scharfschießen mit einem Gewehr, einer Schrotflinte oder anderen langen Schußwaffen (als Spiel, Sport)
43C424|Schießscheibe, Zielscheibe (für Scharfschützen)
43C43|jeu de tonneau
43C431|eine Scheibe in die Öffnung eines Fasses werfen
43C432|Beilkespiel
43C44|Jo-Jo
43C441|Diabolo(spiel), Teufelsspiel
43C45|Lanzenstechen im Ring (als Spiel, Sport)
43C5|Kalkulations- und Glücksspiele, z.B. Kartenspiele, Wettspiele, Rätselspiele etc.
43C51|Kartenspiele
43C511|Falschspieler
43C512|Spielkarten
43C5121|Jolly Joker
43C513|Patience (Kartenspiel)
43C52|Brettspiele
43C521|Schach
43C5211|Schachfigur
43C5212|Schachspiel zwischen Mann und Frau, bei dem die Frau gewinnt
43C522|Backgammon, Tricktrack, Puffspiel
43C523|Dame (Spiel)
43C5231|Dam(e)steine
43C53|Brettspiele als Glücksspiele
43C531|Gänsespiel
43C532|Monopoly (Brettspiele als Glücksspiele)
43C54|Domino(spiel)
43C55|Würfelspiele
43C551|Mogeln, Betrug (bei Würfelspielen)
43C552|Würfel
43C56|wetten
43C561|Sportwetten
43C562|Roulette
43C57|Tombola
43C58|Tombola, Lotterie
43C581|Lose ziehen (Wetten)
43C582|Totalisator, Wettapparat
43C59|Rätsel, Rätselspiele, Scherzfragen
43C591|Scharade
43C592|Kreuzworträtsel
43C593|Puzzlespiel
43C6|Gesellschaftsspiele, Partyspiele
43C61|Pfänderspiele
43C62|Reise nach Jerusalem (Gesellschaftsspiel)
43C63|Gesellschaftsspiele mit erotischen Implikationen, z.B. Kußwettbewerb
43C631|Schinkenklopfen; haute coquilles; la main chaude (Gesellschaftsspiel)
43C64|Frosch in der Mitte (Gesellschaftsspiel)
43C68|Erwachsene spielen Kinderspiele
43C69|Keilerei
43C7|Kinderspiele
43C71|Kinderspiele ohne Spielzeug
43C711|Laufspiele (Kinder)
43C7111|einfache Laufspiele
43C71111|Rennen, Wettrennen (Laufspiele)
43C71112|Fangen (Laufspiele)
43C71113|red rover, red light? und ähnliche Kinderspiele
43C7112|Wettkämpfe, Wettbewerbe
43C71121|Gefangene nehmen (Kinderspiele)
43C71122|Land erobern (Kinderspiele)
43C71123|Fangen (mit Anschlagen); in Gruppen gespielt (Kinderspiele)
43C7113|Lauf- und Versteckspiele
43C71131|Versteckspiel
43C7114|Laufspiele in einem Kreis
43C7115|Laufspiele mit einem narrativen Element
43C7116|London Bridge und ähnliche Bogen- und Brückenspiele
43C7117|Schlangen- oder Reihenspiele
43C71171|Eisenbahnspiel (Schlangen- oder Reihenspiele)
43C7118|Wirbel- und Drehspiele, z.B. Windmühle
43C712|Spring- und Hüpfspiele
43C7121|einfache Spring- und Hüpfspiele
43C7122|Bockspringen und ähnliche Spiele
43C7123|hey cockalorum! und ähnliche Spiele
43C7124|Hüpfspiel
43C7125|verschiedene Spring- und Hüpfspiele
43C71251|Purzelbäume, Saltos schlagen (Spring- und Hüpfspiele)
43C71252|Kopfstand (Spring- und Hüpfspiele)
43C71253|auf allen Vieren laufen (Spring- und Hüpfspiele)
43C71254|sich drehen, rotieren (Spring- und Hüpfspiele)
43C7126|Springspiel (über einen Graben o.ä. springen)
43C71261|Springspiel (mit einer Stange als Hilfsmittel)
43C713|Hüpf- und Tanzspiele (Kinderspiele)
43C7131|einfache Hüpf- und Tanzspiele
43C7132|Seilspringen
43C7133|in Kreise oder Quadrate hüpfen bzw. darin tanzen (Kinderspiele)
43C7134|Reihentanz
43C714|Wurfspiele
43C7141|einfache Wurfspiele
43C7142|Steine werfen (Wurfspiel)
43C7143|Stöcke werfen (Wurfspiel)
43C7144|Münzen werfen (Wurfspiel)
43C7145|Früchte werfen (Wurfspiel)
43C7146|Ballspiele (Kinderspiele)
43C71461|Ballspiele, die von einer Person gespielt werden
43C71462|einen Ball in die Luft werfen und fangen (Kinderspiele)
43C71463|einen Ball mit einem Stock etc. schlagen (Kinderspiele)
43C71464|einen Ball treten (Kinderspiele)
43C7147|Kegeln, Bowling (Kinderspiele)
43C7148|Varia (Wurfspiele)
43C71481|Ringe werfen, Scheibenwerfen (Kinderspiele)
43C715|Faust- und Fingerspiele
43C7151|einfache Spiele mit der Hand
43C71511|mit der Hand erzeugte Schattenbilder, Silhouetten
43C71512|Finger- und Fadenspiele (Schnur-, Fadenspiel)
43C7152|Klatsch- und Abschlagspiele
43C71521|Hände oder Fäuste übereinanderschichten (Kinderspiele)
43C71522|Tüten zerplatzen lassen (Kinderspiele)
43C7153|Zeige- und Abzählspiele
43C7154|Fingerspiele
43C7155|Abzählreime
43C716|Tauschspiele; Spiele, bei denen etwas nachgeahmt oder imitiert wird, z.B. Erwachsene
43C717|Ratespiele (für Kinder)
43C7171|einfache Ratespiele
43C7172|Suchspiele (Suche nach einem versteckten Gegenstand)
43C71721|eine Spur verfolgen (Suchspiele)
43C7173|Wahrsagereien etc. (Kinderspiele)
43C7174|Lose ziehen (Kinderspiele)
43C7175|Spiele mit verbundenen Augen
43C71751|Blindekuh(spiel)
43C718|Schaukelspiele
43C7181|Schaukeln (Kinderspiele)
43C7182|die Wiege schaukeln (Kinderspiele)
43C7183|auf den Knien reiten
