2|自然
25FF27|傳說中的動物 ~ 水栖哺乳動物
25FF27(...)|水栖哺乳動物 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF27(DOLPHIN)|水栖哺乳動物: 海豚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF27(SEAL)|水栖哺乳動物: 海獅- FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF27(WHALE)|水栖哺乳動物: 鯨魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF28|傳說中的動物 ~ 會飛類哺乳動物
25FF28(...)|會飛類哺乳動物 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF28(BAT)|會飛類哺乳動物: 蝙蝠 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF29|傳說中的動物 ~ 以上未提及的其它哺乳動物
25FF29(...)|傳說中的動物 ~ 以上未提及的其它哺乳動物 (名稱)
25FF29(ARMADILLO)|其它哺乳動物: 犰狳 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF29(HEDGEHOG)|其它哺乳動物: 刺蝟 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF29(LERTIX)|傳說中的動物 ~ 以上未提及的其它哺乳動物: lertix
25FF29(MOLE)|其它哺乳動物: 鼹形鼠 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF29(PORCUPINE)|其它 哺乳動物: 豪豬 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF3|傳說中的動物 ~鳥類
25FF3(...)|傳說中的動物 ~鳥類 (名稱)
25FF3(AVALERION)|傳說中的動物 ~鳥類: avalerion
25FF3(CARABAS)|傳說中的動物 ~鳥類: carabas
25FF3(CARISTA)|傳說中的動物 ~鳥類: carista
25FF3(FIRE-BIRD)|傳說中的動物 ~鳥類: 火鳥
25FF3(HARPY)|鳥身女妖 (傳說中的鳥); 'Arpie' (Ripa)
25FF3(HERCYNIAN BIRD)|傳說中的動物 ~鳥類: 海西鳥
25FF3(PHOENIX)|傳說中的動物 ~鳥類: 鳳凰 
25FF3(PORPHYRION)|傳說中的動物 ~鳥類: porphyrion
25FF3(ROC)|傳說中的動物 ~鳥類: rocfire-bird
25FF3(SELEUCIDIAN BIRD)|傳說中的動物 ~鳥類: seleucidian bird
25FF3(STELLINUS)|傳說中的動物 ~鳥類: stellinus
25FF3(TRAGOPA)|傳說中的動物 ~鳥類: tragopa
25FF31|傳說中的動物 ~ 家禽
25FF311|basilisk (身體後半部為蛇的雄雞)
25FF312|cockatrice, 雞頭雙足龍
25FF32|傳說中的動物 ~ 鳴禽
25FF32(...)|鳴禽 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(CROW)|鳴禽: 烏鴉 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(FINCH)|鳴禽: 雀 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(GOLDFINCH)|鳴禽: 金翅雀 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(JACKDAW)|鳴禽: 寒鴉 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(LARK)|鳴禽: 百靈鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(MAGPIE)|鳴禽: 喜鵲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(NIGHTINGALE)|鳴禽: 夜鶯 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(RAVEN)|鳴禽: 渡鴨 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(ROBIN)|鳴禽: 鴝,知更鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(SPARROW)|鳴禽: 麻雀 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(STARLING)|鳴禽: 星椋鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(SWALLOW)|鳴禽: 燕子 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(THRUSH)|鳴禽: 鶇 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(WAGTAIL)|鳴禽: 灶巢鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(WARBLER)|鳴禽: 鶯 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(WHITE THROAT)|鳴禽: white throat - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF32(WREN)|鳴禽: 鷦鷯 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF33|傳說中的動物 ~ 猛禽
25FF33(...)|猛禽 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF33(EAGLE)|猛禽: 鷹 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF33(FALCON)|猛禽: 隼(sun) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF33(FISH-HAWK)|猛禽: 魚鷹, 鶚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF33(HAWK)|猛禽: 鷹 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF33(KITE)|猛禽: 鳶(yuan) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF33(SPARROW-HAWK)|猛禽: 雀鷹 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF33(VULTURE)|猛禽: 鷲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF331|vulpanser
25FF332|雙頭鷹
25FF34|傳說中的動物 ~ 貓頭鷹
25FF35|傳說中的動物 ~ 觀賞鳥
25FF35(...)|觀賞鳥 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF35(BIRD OF PARADISE)|觀賞鳥: 天堂鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF35(HORNBILL)|觀賞鳥: 犀鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF35(PARROT)|觀賞鳥: 鸚鵡 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF35(PEACOCK)|觀賞鳥: 孔雀 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF36|傳說中的動物 ~ 水鳥
25FF36(...)|水鳥 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF36(COOT)|水鳥: 黑鴨 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF36(DIPPER)|水鳥: 潛鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF36(DUCK)|水鳥: 鴨 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF36(GOOSE)|水鳥: 鵝 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF36(PELICAN)|水鳥: 鵜鶘 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF36(SWAMP-HEN)|水鳥: 沼澤水雞 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF36(SWAN)|水鳥: 天鵝 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37|傳說中的動物 ~ 沙禽和涉禽
25FF37(...)|沙禽和涉禽 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(BITTERN)|沙禽和涉禽: 麻鳽 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(CRANE)|沙禽和涉禽: 鶴 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(GULL)|沙禽和涉禽: 鷗 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(HERON)|沙禽和涉禽: 蒼鷺 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(IBIS)|沙禽和涉禽: 白鷺 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(LAPWING)|沙禽和涉禽: 麥鳧 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(MARABOU)|沙禽和涉禽: 禿鸛 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(PLOVER)|沙禽和涉禽: 千鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(PURPLE WATER-HEN)|沙禽和涉禽: 紫水雞 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(SNIPE)|沙禽和涉禽: 鷸 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(STORK)|沙禽和涉禽: 鸛 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(TROCHILUS)|沙禽和涉禽: 柳鶯 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF37(WOODCOCK)|沙禽和涉禽: 鳥鷸 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF371|'caladrius', 'charadrius' (傳說中的鳥)
25FF38|傳說中的動物 ~ 行禽
25FF38(...)|行禽 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF38(BUSTARD)|行禽: 鴇 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF38(OSTRICH)|行禽: 鴕鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF38(PARTRIDGE)|行禽: 鷓鴣 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF38(PHEASANT)|行禽: 雉,野雞,錦雞 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF38(QUAIL)|行禽: 鵪鶉 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF38(TURKEY)|行禽: 火雞 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39|傳說中的動物 ~ 以上未提及的其它鳥類
25FF39(...)|其它鳥類 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(CUCKOO)|其它鳥類: 布穀鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(DODO)|其它鳥類: 渡渡鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(DOVE)|其它鳥類: 鴿子 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(HOOPOE)|其它鳥類: 戴勝 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(HUMMING-BIRD)|其它鳥類: 蜂鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(KINGFISHER)|其它鳥類: 翠鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(TURTLE DOVE)|其它鳥類: 斑鳩 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(WOODPECKER)|其它鳥類: 啄木鳥 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF39(WRYNECK)|其它鳥類: 歪脖 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF4|傳說中的動物 ~ 爬行動物
25FF41|傳說中的動物 ~ 蜥蜴類
25FF41(...)|蜥蜴類 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF41(CHAMELEON)|蜥蜴類: 變色龍 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF41(LIZARD)|蜥蜴類: 蜥蜴 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF411|龍
25FF412|火蜥蜴 (傳說中的動物); 作為火精的火蜥蜴
25FF42|傳說中的動物 ~ 蛇 (aspic, 龍, 水蛇, 水螅, 雙頭蛇, 有角的蛇, 角蝰)
25FF42(...)|蛇 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF42(VIPER)|蛇: 蝰蛇 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF421|aspic
25FF422|龍 (傳說中的巨蛇, 有時長雙翼和腿)
25FF423|'hydrus' (水蛇)
25FF4231|'hydra'; 'Hidra' (Ripa)
25FF424|'amphisbaena' (首尾均長頭的雙頭蛇)
25FF425|有角的蛇
25FF4251|'cerastes'
25FF43|傳說中的動物 ~ 鱷類
25FF43(...)|鱷類 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF43(ALLIGATOR)|鱷類: 短吻鱷 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF43(CROCODILE)|鱷類: 鱷 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF44|傳說中的動物 ~ 龜
25FF5|傳說中的動物 ~ 水陸兩棲動物
25FF51|傳說中的動物 ~ 無尾水陸兩棲動物
25FF51(...)|無尾水陸兩棲動物 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF51(FROG)|無尾水陸兩棲動物: 蛙 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF51(TOAD)|無尾水陸兩棲動物: 蟾蜍 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF52|傳說中的動物 ~ 有尾水陸兩棲動物
25FF52(...)|有尾水陸兩棲動物 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF6|傳說中的動物 ~ 魚類
25FF61|海兽 (傳說中的魚)
25FF61(...)|軟骨魚類 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF61(DOGFISH)|軟骨魚類: 狗鯊 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF61(RAY)|軟骨魚類: 鰩魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF61(SAWFISH)|軟骨魚類: 鋸鰩 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF61(SHARK)|軟骨魚類: 鯊魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62|海馬, hippocamp, 'hippocampus', (馬/魚) (神話中拼湊的怪獸)
25FF62(...)|硬骨魚類 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(BARBEL)|硬骨魚類: 有觸鬚的魚,鲃魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(BUTTERFISH)|硬骨魚類: 溜滑的魚,鯧魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(CARP)|硬骨魚類: 鯉魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(HERRING)|硬骨魚類: 鯡魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(HIPPOCAMPUS)|硬骨魚類: 海馬 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(LUNGFISH)|硬骨魚類: 肺魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(MACKEREL)|硬骨魚類: 鯖魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(MULLET)|硬骨魚類: 鯔魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(PIKE)|硬骨魚類: 梭子魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(PILOT-FISH)|硬骨魚類: 鰣魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(RED HERRING)|熏鯖魚 : 採用 41 C 68 (熏鯖魚); 鯡魚: 使用 25 F 62 (鯡魚) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(ROACH)|硬骨魚類: 歐鯉,翻車魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SALMON)|硬骨魚類: 鮭魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SARDINE)|硬骨魚類: 沙丁魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SCARUS)|硬骨魚類: 鸚嘴魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SEA-BREAM)|硬骨魚類: 鯛魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SEA-DEVIL)|硬骨魚類: 華臍魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SEA-PERCH)|硬骨魚類: 黑鯛 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SEA-WOLF)|硬骨魚類: 狼魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SHEAT-FISH)|硬骨魚類: 六須鯰 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(STURGEON)|硬骨魚類: 鱔魚,鱘魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SUN-FISH)|硬骨魚類: 翻車魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(SWORD-FISH)|硬骨魚類: 旗魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(TUNNY)|硬骨魚類: 金槍魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF62(WEEVER)|硬骨魚類: 鱸魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF63|'pistrix', 海龍
25FF63(...)|鱔魚類 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF63(EEL)|鱔魚類: 鱔魚,鰻魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF63(LAMPREY)|鱔魚類: 七腮鰻魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF63(SEA-EEL)|鱔魚類: 海鱔 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF64|'remore', 'echeneis remora' (傳說中的魚)
25FF64(...)|深海魚類 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF65|'serra' (有大鰭的魚)
25FF65(...)|其它魚類 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF7|傳說中的動物 ~ 低級動物
25FF71|傳說中的動物 ~ 節肢動物 ('pyrausta')
25FF711|'pyrausta'
25FF711(...)|昆蟲 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(ANT)|昆蟲: 螞蟻 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(BEE)|昆蟲: 蜜蜂 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(BEETLE)|昆蟲: 甲蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(BUTTERFLY)|昆蟲: 蝴蝶 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(CATERPILLAR)|昆蟲: 毛蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(CICADA)|昆蟲: 蟬 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(CRICKET)|昆蟲: 蟋蟀 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(DAY-FLY)|昆蟲: 蜉蝣 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(DUNG-BEETLE)|昆蟲: 蜣螂 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(FLY)|昆蟲: 蒼蠅 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(GLOW-WORM)|昆蟲: 螢火蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(GNAT)|昆蟲: 叮人小蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(GRASS-HOPPER)|昆蟲: 蚱蜢 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(ICHNEUMON-FLY)|昆蟲: 姬蜂 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(LADYBIRD)|昆蟲: 瓢蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(MANTIS)|昆蟲: 螳螂 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(MOTH)|昆蟲: 蛾子 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(PRAYING-MANTIS)|昆蟲: 合掌螳螂 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(SCARABAEUS)|昆蟲: 聖甲蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF711(WASP)|昆蟲: 黃蜂 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF712|蜈蚣,百足蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF713|蜘蛛 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF714|螨,壁蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF715|蝎子 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF716|甲殼蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF716(...)|甲殼蟲 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF716(CRAB)|甲殼蟲: 蟹 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF716(LOBSTER)|甲殼蟲: 龍蝦 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72|傳說中的動物 ~ 軟體動物
25FF72(...)|傳說中的動物 ~ 軟體動物 (名稱)
25FF72(CUTTLE-FISH)|軟體動物: 墨魚,烏賊 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72(KRAKEN)|傳說中的動物 ~ 軟體動物: (傳說在挪威海中出現的)海怪
25FF72(MUREX)|軟體動物: 骨螺 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72(MUSSEL)|軟體動物: 貝類,蚌類 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72(NAUTILUS)|軟體動物: 鸚鵡螺殼 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72(OCTOPUS)|軟體動物: 章魚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72(OYSTER)|軟體動物: 牡蠣 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72(POLYP)|軟體動物: 珊瑚蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72(SNAIL)|軟體動物: 螺,蜗牛 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF72(SQUID)|軟體動物: 魷魚- FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF73|蠕蟲 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF73(...)|蠕蟲 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF74|棘皮類動物 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF74(...)|棘皮類動物 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF74(SEA-URCHIN)|棘皮類動物: 海膽 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF74(STARFISH)|棘皮類動物: 海星 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF75|刺絲胞類動物 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF75(...)|刺絲胞類動物 (名稱) - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF75(CORAL)|刺絲胞類動物: 珊瑚 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF75(JELLY-FISH)|刺絲胞類動物: 水母,海蜇 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
25FF75(SPONGE)|刺絲胞類動物: 海綿 - FF - 傳說中的動物 (有時誤稱為'怪誕的'); 'Mostri' (Ripa)
